formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin
AlSeF,4AlISe-1,AlSeI,p2_1/b11,17,P2_1/c,Rectangular (op),3.666921885468848,0.0,Yes,I→F,0.68,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,AlSeF,p2_1/b11,p2_1/b11,True,False,known_composition_new_layergroup,2AlFSe-2;2AlFSe-1,pmmn;pm2_1n,,,,,,354,5.029797554016113,True,4-6
BaBrF,1BaBrI-1,BaIBr,p3m1,69,P3m1,Hexagonal (hp),5.177247334371238,0.041636506657886464,Yes,I→F,0.935,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,BaBrF,p3m1,p3m1,True,False,known_composition_new_layergroup,2BaBrF-1,p4/nmm,,,,,,360,2.5554542541503906,False,2-4
BaIF,1BaBrI-1,BaIBr,p3m1,69,P3m1,Hexagonal (hp),5.177247334371238,0.041636506657886464,Yes,Br→F,0.93,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,BaIF,p3m1,p3m1,True,False,known_composition_new_layergroup,2BaFI-1,p4/nmm,,,,,,362,4.202032566070557,True,4-6
GaSeF,4ClGaSe-1,GaSeCl,p2_1/b11,17,P2_1/c,Rectangular (op),3.9657467691944497,0.0,Yes,Cl→F,0.555,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,GaSeF,p2_1/b11,p2_1/b11,True,False,known_composition_new_layergroup,2FGaSe-1;2FGaSe-2,pm2_1n;pmmn,,,,,,364,3.3308534622192383,False,2-4
CaBrF,2BrCaI-1,CaIBr,p3m1,69,P3m1,Hexagonal (hp),5.000309558867139,0.003386199682551272,Yes,I→F,0.95,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,CaBrF,p3m1,p3m1,True,False,known_composition_new_layergroup,2BrCaF-1,p4/nmm,,,,,,374,6.758519172668457,True,6-8
CaIF,2BrCaI-1,CaIBr,p3m1,69,P3m1,Hexagonal (hp),5.000309558867139,0.003386199682551272,Yes,Br→F,0.935,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,CaIF,p3m1,p3m1,True,False,known_composition_new_layergroup,2CaFI-1,p4/nmm,,,,,,377,5.046082019805908,True,4-6
CaICl,2BrCaI-1,CaIBr,p3m1,69,P3m1,Hexagonal (hp),5.000309558867139,0.003386199682551272,Yes,Br→Cl,0.96,2.96,3.16,0.20000000000000018,0.94,0.79,0.1499999999999999,0.1595744680851063,medium,True,CaICl,p3m1,p3m1,True,False,known_composition_new_layergroup,2CaClI-3;2CaClI-1;2CaClI-2,p4/nmm;p11a;pmmn,,,,,,378,5.134730339050293,True,4-6
VBrF,2BrClV-1,VBrCl,p2_1/m11,15,P2_1/m,Rectangular (op),3.740149248496336,0.0,Yes,Cl→F,0.68,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,VBrF,p2_1/m11,p2_1/m11,True,False,known_composition_new_layergroup,1BrFV-1,p3m1,,,,,,382,3.214587688446045,False,2-4
VClF,2BrClV-1,VBrCl,p2_1/m11,15,P2_1/m,Rectangular (op),3.740149248496336,0.0,Yes,Br→F,0.79,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,VClF,p2_1/m11,p2_1/m11,True,False,known_composition_new_layergroup,1ClFV-1,p3m1,,,,,,383,3.9788684844970703,True,2-4
VICl,2BrClV-1,VBrCl,p2_1/m11,15,P2_1/m,Rectangular (op),3.740149248496336,0.0,Yes,Br→I,0.55,2.96,2.66,0.2999999999999998,0.94,1.15,0.20999999999999996,0.2234042553191489,medium,True,VICl,p2_1/m11,p2_1/m11,True,False,known_composition_new_layergroup,1ClIV-1;1ClIV-2,p3m1,,,,,,384,2.211459159851074,False,2-4
BeIF,2FISr-1,SrIF,p4/nmm,64,P4/nmm,Square (tp),5.170777689308794,0.0,Yes,Sr→Be,0.755,0.95,1.57,0.6200000000000001,2.19,1.12,1.0699999999999998,0.48858447488584467,high,True,BeIF,p4/nmm,p4/nmm,True,False,known_composition_new_layergroup,2BeFI-1,pm2_1b,,,,,,402,5.511669635772705,True,4-6
CdClF,2BrCdCl-1,CdBrCl,pm2_1b,28,Pmc2_1,Rectangular (op),4.445995215815589,0.0224357607015353,Yes,Br→F,0.715,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,CdClF,pm2_1b,pm2_1b,True,False,known_composition_new_layergroup,2CdClF-1,pm2_1n,,,,,,415,4.5474019050598145,True,4-6
BeBrCl,2BrCaCl-2,CaBrCl,p2_1/m11,15,P2_1/m,Rectangular (op),6.265795452064115,0.060600045536020275,Yes,Ca→Be,0.8,1.0,1.57,0.5700000000000001,1.94,1.12,0.8199999999999998,0.42268041237113396,high,True,BeBrCl,p2_1/m11,p2_1/m11,True,False,known_composition_new_layergroup,2BeBrCl-1,pm2_1b,,,,,,416,5.443838596343994,True,4-6
MgBrCl,2BrCaCl-2,CaBrCl,p2_1/m11,15,P2_1/m,Rectangular (op),6.265795452064115,0.060600045536020275,Yes,Ca→Mg,0.82,1.0,1.31,0.31000000000000005,1.94,1.45,0.49,0.25257731958762886,medium,True,MgBrCl,p2_1/m11,p2_1/m11,True,False,known_composition_new_layergroup,1BrClMg-1,p3m1,,,,,,417,5.542642593383789,True,4-6
CaClF,2BrCaCl-2,CaBrCl,p2_1/m11,15,P2_1/m,Rectangular (op),6.265795452064115,0.060600045536020275,Yes,Br→F,0.94,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,CaClF,p2_1/m11,p2_1/m11,True,False,known_composition_new_layergroup,2CaClF-1,p4/nmm,,,,,,418,7.128185749053955,True,6-8
