formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin
NaCaF3,2CaNaI3-1,NaCaI3,p-31m,71,P-31m,Hexagonal (hp),4.678803649065653,0.05939036707001346,Yes,I→F,0.915,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,NaCaF3,p-31m,p-31m,False,False,new_composition,,,,,,,,280,9.788369178771973,True,8-10
NaCaCl3,2CaNaI3-1,NaCaI3,p-31m,71,P-31m,Hexagonal (hp),4.678803649065653,0.05939036707001346,Yes,I→Cl,0.825,2.66,3.16,0.5,1.15,0.79,0.3599999999999999,0.3130434782608695,high,True,NaCaCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,281,7.668360710144043,True,6-8
NaCaBr3,2CaNaI3-1,NaCaI3,p-31m,71,P-31m,Hexagonal (hp),4.678803649065653,0.05939036707001346,Yes,I→Br,0.805,2.66,2.96,0.2999999999999998,1.15,0.94,0.20999999999999996,0.18260869565217389,medium,True,NaCaBr3,p-31m,p-31m,False,False,new_composition,,,,,,,,282,6.267475128173828,True,6-8
RbPO3,2NRbO3-1,RbNO3,p2_1/m11,15,P2_1/m,Rectangular (op),5.286226532964832,0.0,Yes,N→P,0.705,3.04,2.19,0.8500000000000001,0.56,0.98,0.41999999999999993,0.7499999999999998,high,True,RbPO3,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,284,6.256536483764648,True,6-8
RbAsO3,2NRbO3-1,RbNO3,p2_1/m11,15,P2_1/m,Rectangular (op),5.286226532964832,0.0,Yes,N→As,0.75,3.04,2.18,0.8599999999999999,0.56,1.14,0.5799999999999998,1.0357142857142854,high,True,RbAsO3,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,285,7.043325424194336,True,6-8
RbSbO3,2NRbO3-1,RbNO3,p2_1/m11,15,P2_1/m,Rectangular (op),5.286226532964832,0.0,Yes,N→Sb,0.725,3.04,2.05,0.9900000000000002,0.56,1.33,0.77,1.375,high,True,RbSbO3,p2_1/m11,p2_1/m11,False,False,new_composition,,,,,,,,286,6.4385600090026855,True,6-8
NaMnCl3,2LiMnCl3-1,LiMnCl3,p-31m,71,P-31m,Hexagonal (hp),5.383826679282638,0.032962796714218,Yes,Li→Na,0.885,0.98,0.93,0.04999999999999993,1.67,1.9,0.22999999999999998,0.1377245508982036,low,False,NaMnCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,290,4.494661808013916,True,4-6
KMnCl3,2LiMnCl3-1,LiMnCl3,p-31m,71,P-31m,Hexagonal (hp),5.383826679282638,0.032962796714218,Yes,Li→K,0.815,0.98,0.82,0.16000000000000003,1.67,2.43,0.7600000000000002,0.4550898203592816,high,True,KMnCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,291,3.061372756958008,False,2-4
RbMnCl3,2LiMnCl3-1,LiMnCl3,p-31m,71,P-31m,Hexagonal (hp),5.383826679282638,0.032962796714218,Yes,Li→Rb,0.81,0.98,0.82,0.16000000000000003,1.67,2.65,0.98,0.5868263473053892,high,True,RbMnCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,292,1.408936619758606,False,0-2
CsMnCl3,2LiMnCl3-1,LiMnCl3,p-31m,71,P-31m,Hexagonal (hp),5.383826679282638,0.032962796714218,Yes,Li→Cs,0.825,0.98,0.79,0.18999999999999995,1.67,2.98,1.31,0.784431137724551,high,True,CsMnCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,293,2.7272515296936035,False,2-4
