formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin
CrPO3,2AsCrO3-1,CrAsO3,p-31m,71,P-31m,Hexagonal (hp),3.931286749280372,0.006301433805579215,Yes,As→P,0.715,2.18,2.19,0.009999999999999787,1.14,0.98,0.15999999999999992,0.1403508771929824,low,False,CrPO3,p-31m,p-31m,True,True,known_material,2CrPO3-1,p-31m,2CrPO3-1,,,0.4906820180157208,Unknown,313,3.667367935180664,True,2-4
CrSbO3,2AsCrO3-1,CrAsO3,p-31m,71,P-31m,Hexagonal (hp),3.931286749280372,0.006301433805579215,Yes,As→Sb,0.765,2.18,2.05,0.13000000000000034,1.14,1.33,0.19000000000000017,0.16666666666666682,medium,True,CrSbO3,p-31m,p-31m,True,True,known_material,2CrSbO3-1,p-31m,2CrSbO3-1,3.83213653476979,1.3449350167256666,0.0,Yes,314,3.004565715789795,False,2-4
LiCdCl3,2CdLiBr3-1,LiCdBr3,p-31m,71,P-31m,Hexagonal (hp),4.402416551650122,0.03868142673461854,Yes,Br→Cl,0.92,2.96,3.16,0.20000000000000018,0.94,0.79,0.1499999999999999,0.1595744680851063,medium,True,LiCdCl3,p-31m,p-31m,True,True,known_material,2CdLiCl3-1,p-31m,2CdLiCl3-1,5.422771206052861,4.108066900835809,0.035453049291366764,Yes,318,5.087466716766357,True,4-6
Al2S3,2AlGaS3-1,AlGaS3,pm2_1n,32,Pmn2_1,Rectangular (op),3.810732595670257,1.7763568394002506e-16,Yes,Ga→Al,0.55,1.81,1.61,0.19999999999999996,1.36,1.18,0.18000000000000016,0.1323529411764707,low,False,Al2S3,pm2_1n,pm2_1n,True,True,known_material,2Al2S3-1;2Al2S3-3;2Al2S3-2;2Al2S3-4;1Al2S3-2;1Al2S3-1;4Al2S3-1,pm2_1n;pm11;pm2_1b;cm2m;p-3m1;p-6m2;p2_1/b11,2Al2S3-1,4.163581932492452,3.133355288305654,0.0,Yes,322,4.12526798248291,True,4-6
BiSbO3,2AsBiO3-1,BiAsO3,p11a,5,Pc,Oblique (mp),4.092174437318143,0.0,Yes,As→Sb,0.515,2.18,2.05,0.13000000000000034,1.14,1.33,0.19000000000000017,0.16666666666666682,medium,True,BiSbO3,p11a,p11a,True,True,known_material,2BiSbO3-2;2BiSbO3-1,p1;p11a,2BiSbO3-1,3.9201864689657446,2.730307374672094,0.0,Yes,331,3.6211419105529785,True,2-4
CdAgBr3,2AgCdCl3-1,CdAgCl3,p-31m,71,P-31m,Hexagonal (hp),4.055697705088616,0.0,Yes,Cl→Br,0.56,3.16,2.96,0.20000000000000018,0.79,0.94,0.1499999999999999,0.18987341772151886,medium,True,CdAgBr3,p-31m,p-31m,True,True,known_material,2AgCdBr3-1,p-31m,2AgCdBr3-1,3.456190735645555,2.2396224505565634,0.0,Yes,332,3.32987642288208,False,2-4
AlInO3,2GaInO3-1,InGaO3,pm2_1n,32,Pmn2_1,Rectangular (op),3.6648377168787616,0.05551166139117427,Yes,Ga→Al,0.73,1.81,1.61,0.19999999999999996,1.36,1.18,0.18000000000000016,0.1323529411764707,low,False,AlInO3,pm2_1n,pm2_1n,True,True,known_material,2AlInO3-1,pm2_1n,2AlInO3-1,4.391966049821173,2.837893987307134,0.09571031510143727,Yes,334,4.43741512298584,True,4-6
MnAgCl3,2AgMnBr3-1,MnAgBr3,p-31m,71,P-31m,Hexagonal (hp),3.536322195343905,0.0056188762123086985,Yes,Br→Cl,0.535,2.96,3.16,0.20000000000000018,0.94,0.79,0.1499999999999999,0.1595744680851063,medium,True,MnAgCl3,p-31m,p-31m,True,True,known_material,2AgMnCl3-1,p-31m,2AgMnCl3-1,3.949925983421606,1.9911648336482588,0.0,Yes,338,3.426682949066162,True,2-4
GaSbO3,2AlSbO3-1,AlSbO3,p-31m,71,P-31m,Hexagonal (hp),5.156947113710846,0.0,Yes,Al→Ga,0.71,1.61,1.81,0.19999999999999996,1.18,1.36,0.18000000000000016,0.15254237288135608,medium,True,GaSbO3,p-31m,p-31m,True,True,known_material,2GaSbO3-1,p-31m,2GaSbO3-1,4.973032755334708,3.7587698701503376,0.0,Yes,339,4.518208026885986,True,4-6
AlAsO3,2AlSbO3-1,AlSbO3,p-31m,71,P-31m,Hexagonal (hp),5.156947113710846,0.0,Yes,Sb→As,0.82,2.05,2.18,0.13000000000000034,1.33,1.14,0.19000000000000017,0.142857142857143,low,False,AlAsO3,p-31m,p-31m,True,True,known_material,2AlAsO3-1,p-31m,2AlAsO3-1,5.969293617398447,4.596195714384544,0.0,Yes,340,5.333674430847168,True,4-6
