uid,formula,reduced_formula,natoms,ehull,hform,gap_pbe,gap_hse,dyn_stab,layergroup,lgnum,international,bravais_type,layergroup_norm
2SeSi-2,Se2Si2,SiSe,4,0.8114276488299881,0.4736838513643167,0.0,,Unknown,p4/mmm,61,P4/mmm,Square (tp),p4/mmm
2CdSe-3,Cd2Se2,CdSe,4,0.42154164581194165,-0.20895413224016002,0.0,,No,p4/mmm,61,P4/mmm,Square (tp),p4/mmm
2CdSe-1,Cd2Se2,CdSe,4,0.10955293934923382,-0.5209428387028678,1.4023876086837297,2.197360631023562,Yes,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2CdSe-2,Cd2Se2,CdSe,4,0.24597774725407318,-0.3845180307980285,,,Unknown,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2IRb-1,Rb2I2,RbI,4,0.1367765928892335,-1.3971775609714296,3.713828303788546,4.612563320157292,Yes,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2BrZr-3,Zr2Br2,ZrBr,4,0.45510381672035916,-0.5837237637869253,0.0,,No,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2BrZr-4,Zr2Br2,ZrBr,4,0.6974054785742654,-0.34142210193301903,0.04498351427892122,0.0445888995147109,No,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2BrZr-2,Zr2Br2,ZrBr,4,0.06769748797235664,-0.9711300925349278,0.0,,Yes,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2BrZr-1,Zr2Br2,ZrBr,4,0.0,-1.0388275805072844,0.00022248063182539468,,Yes,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2FPt-2,Pt2F2,PtF,4,0.9958262608758104,0.12427857257860131,0.0,,No,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2FPt-1,Pt2F2,PtF,4,0.0,-0.8715476882972091,0.8112961997298591,2.1650046211579683,Yes,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
4AgBi-1,Ag4Bi4,AgBi,8,0.10487962596979461,0.10487962596979461,,,Unknown,pmma,41,Pmma,Rectangular (op),pmma
1CdSe-1,CdSe,CdSe,2,0.24652568499893324,-0.3839700930531684,,,Unknown,p3m1,69,P3m1,Hexagonal (hp),p3m1
3BrCs-1,Cs3Br3,CsBr,6,0.04307727312542653,-1.7818213922992572,4.043993776600177,5.119078003689812,Yes,p4/mmm,61,P4/mmm,Square (tp),p4/mmm
2OSn-2,Sn2O2,SnO,4,0.04713552771874596,-1.2562664856791708,2.4932408230298173,3.259099976319736,Yes,pm2_1n,32,Pmn2_1,Rectangular (op),pm2_1n
2OSn-1,Sn2O2,SnO,4,0.021404246706370422,-1.2819977666915463,3.020261517193606,,No,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2OSn-3,Sn2O2,SnO,4,0.6959824116296831,-0.6074196017682336,0.014442410884048407,,No,p4/nmm,64,P4/nmm,Square (tp),p4/nmm
2GaS-2,Ga2S2,GaS,4,0.004411288224408949,-0.6596407522525558,2.1798158071014546,3.045025830145839,Yes,p-3m1,72,P-3m1,Hexagonal (hp),p-3m1
2GaS-1,Ga2S2,GaS,4,0.0,-0.6640520404769648,2.320546162907923,3.1968982453053973,Yes,p-6m2,78,P-6m2,Hexagonal (hp),p-6m2
