formula,proto_formula,proto_uid,substitution,gap_pred_original,gap_dft,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,proto_layergroup,error_original_pred_minus_dft,gap_pred_relaxed,gap_pred_relax_delta,m3gnet_energy_pa_relaxed,relaxation_status,relaxation_source,error_relaxed_pred_minus_dft
LiF,LiBr,6BrLi-2,Br→F,9.623524,8.46,LiF,p3m1,p3m1,True,False,known_composition_new_layergroup,4FLi-1;6FLi-1;6FLi-2,p4/nmm;p4/mmm;p2_1/m11,,,,,,p3m1,1.163523999999999,8.414462089538574,-1.209061622619629,-4.518439928690593,relaxed,relaxation_results.csv,-0.045537910461426634
BaF2,BaBr2,1BaBr2-2,Br→F,8.177171,7.53,BaF2,p-6m2,p-6m2,True,True,known_material,1BaF2-3;1BaF2-2;1BaF2-1,p-4m2;p-6m2;p-3m1,1BaF2-2,,,0.372762883262362,Unknown,p-6m2,0.6471709999999993,7.4313483238220215,-0.7458224296569824,-4.822190920511882,relaxed,m3gnet_relax_single_baf2,-0.09865167617797876
