formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin,gap_bin_sample_rank,relaxation_status,gap_pred_unrelaxed,gap_pred_relaxed,gap_pred_relax_delta,m3gnet_energy_pa_relaxed
ZrO2,1TiO2-1,TiO2,p-3m1,72,P-3m1,Hexagonal (hp),5.218116611537117,0.13546633337948025,No,Ti→Zr,0.805,1.54,1.33,0.20999999999999996,1.76,2.06,0.30000000000000004,0.17045454545454547,medium,True,ZrO2,p-3m1,p-3m1,True,True,known_material,1ZrO2-3;1ZrO2-2;1ZrO2-1;4ZrO2-1,p-6m2;p-4m2;p-3m1;pbma,1ZrO2-1,6.508374322754187,4.448263427526731,0.21655976245711983,Yes,115,5.9491143226623535,True,4-6,9,relaxed,5.9491143226623535,6.157854080200195,0.2087397575378418,-7.204082489013672
ScBrO,2FOSc-1,ScOF,pmmn,46,Pmmn,Rectangular (op),6.985766652092408,0.04293708398124233,Yes,F→Br,0.545,3.98,2.96,1.02,0.42,0.94,0.52,1.2380952380952381,high,True,ScBrO,pmmn,pmmn,True,True,known_material,2BrOSc-1;4BrOSc-1,pmmn;p2_1/m11,2BrOSc-1,5.237291553640096,3.210201931910875,0.0,Yes,449,5.94654655456543,True,4-6,10,relaxed,5.94654655456543,4.886340141296387,-1.060206413269043,-6.19488525390625
B2O3,2Ga2O3-1,Ga2O3,pm2_1n,32,Pmn2_1,Rectangular (op),4.238227342795238,0.04953746974075983,Yes,Ga→B,0.59,1.81,2.04,0.22999999999999998,1.36,0.87,0.4900000000000001,0.3602941176470589,high,True,B2O3,pm2_1n,pm2_1n,True,False,known_composition_new_layergroup,1B2O3-1;2B2O3-2;2B2O3-1,p-62m;pman;pb2n,,,,,,525,7.947251319885254,True,6-8,1,relaxed,7.947251319885254,8.095747947692871,0.1484966278076172,-7.18267822265625
NaF,6INa-1,NaI,p4/mmm,61,P4/mmm,Square (tp),4.338775146733397,0.03188683751175736,Yes,I→F,0.915,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,NaF,p4/mmm,p4/mmm,True,True,known_material,3FNa-1;2FNa-2;2FNa-1,p4/mmm;p4/nmm,3FNa-1,7.781608612287117,5.67699618276303,0.05098457115082233,Yes,505,7.915656089782715,True,6-8,2,relaxed,7.915656089782715,7.593918323516846,-0.32173776626586914,-3.927517573038737
BeClF,2CaClF-1,CaClF,p4/nmm,64,P4/nmm,Square (tp),7.586685082888464,0.012101454898505892,Yes,Ca→Be,0.84,1.0,1.57,0.5700000000000001,1.94,1.12,0.8199999999999998,0.42268041237113396,high,True,BeClF,p4/nmm,p4/nmm,False,False,new_composition,,,,,,,,465,7.755741119384766,True,6-8,3,relaxed,7.755741119384766,6.609538555145264,-1.146202564239502,-4.533105532328288
NaCaCl3,2CaNaI3-1,NaCaI3,p-31m,71,P-31m,Hexagonal (hp),4.678803649065653,0.05939036707001346,Yes,I→Cl,0.825,2.66,3.16,0.5,1.15,0.79,0.3599999999999999,0.3130434782608695,high,True,NaCaCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,281,7.668360710144043,True,6-8,4,relaxed,7.668360710144043,7.065103054046631,-0.6032576560974121,-3.546483612060547
LiBeCl3,2LiMgCl3-1,LiMgCl3,p-31m,71,P-31m,Hexagonal (hp),7.012333418928682,0.03439843260186777,Yes,Mg→Be,0.96,1.31,1.57,0.26,1.45,1.12,0.32999999999999985,0.22758620689655162,medium,True,LiBeCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,323,7.610446929931641,True,6-8,5,relaxed,7.610446929931641,6.422201156616211,-1.1882457733154297,-3.588621139526367
NaSrCl3,2NaSrI3-1,NaSrI3,p-31m,71,P-31m,Hexagonal (hp),4.712225290689499,0.05515423417875383,Yes,I→Cl,0.81,2.66,3.16,0.5,1.15,0.79,0.3599999999999999,0.3130434782608695,high,True,NaSrCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,225,7.578201770782471,True,6-8,6,relaxed,7.578201770782471,6.126105785369873,-1.4520959854125977,-3.4243736267089844
HfNiF6,1HfNiCl6-1,HfNiCl6,p312,67,P312,Hexagonal (hp),4.52340806097839,0.0,Yes,Cl→F,0.825,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,HfNiF6,p312,p312,True,True,known_material,1HfNiF6-1,p312,1HfNiF6-1,6.181179018284299,1.9097975249032775,0.023551528585250114,Yes,536,7.555655479431152,True,6-8,7,relaxed,7.555655479431152,4.8739190101623535,-2.681736469268799,-5.813520431518555
BeCl2,1MgCl2-1,MgCl2,p-3m1,72,P-3m1,Hexagonal (hp),7.294068617459455,2.9605947323337506e-16,Yes,Mg→Be,0.825,1.31,1.57,0.26,1.45,1.12,0.32999999999999985,0.22758620689655162,medium,True,BeCl2,p-3m1,p-3m1,True,False,known_composition_new_layergroup,2BeCl2-1,p-4m2,,,,,,87,7.520969390869141,True,6-8,8,relaxed,7.520969390869141,6.319751262664795,-1.2012181282043457,-3.4397716522216797
ScClF2,2ClScBr2-1,ScBr2Cl,cm11,13,Cm,Centered rectangular (oc),4.935391666345325,0.0,Yes,Br→F,0.605,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,ScClF2,cm11,cm11,False,False,new_composition,,,,,,,,24,7.469786643981934,True,6-8,9,relaxed,7.469786643981934,5.282123565673828,-2.1876630783081055,-5.791130065917969
MnF2,1MnCl2-1,MnCl2,p-3m1,72,P-3m1,Hexagonal (hp),4.835915268067199,0.0,Yes,Cl→F,0.54,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,MnF2,p-3m1,p-3m1,True,True,known_material,1MnF2-2;1MnF2-1;1MnF2-3,p-4m2;p-6m2;p-3m1,1MnF2-3,,,0.8877518888953766,Unknown,94,7.379462242126465,True,6-8,10,relaxed,7.379462242126465,4.360583305358887,-3.018878936767578,-5.54820187886556
YF3,2YI3-1,YI3,p-31m,71,P-31m,Hexagonal (hp),3.888589359408962,0.0008254916978196469,Yes,I→F,0.75,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,YF3,p-31m,p-31m,True,True,known_material,2YF3-1;2YF3-2,p-31m;p6/mmm,2YF3-1,9.894449577438952,7.72766527046932,0.0,Yes,639,9.882898330688477,True,8-10,1,relaxed,9.882898330688477,9.586562156677246,-0.29633617401123047,-6.40560245513916
NaCaF3,2CaNaI3-1,NaCaI3,p-31m,71,P-31m,Hexagonal (hp),4.678803649065653,0.05939036707001346,Yes,I→F,0.915,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,NaCaF3,p-31m,p-31m,False,False,new_composition,,,,,,,,280,9.788369178771973,True,8-10,2,relaxed,9.788369178771973,9.054224014282227,-0.7341451644897461,-4.666515350341797
MgAl2F8,1MgB2F8-1,MgB2F8,p-3m1,72,P-3m1,Hexagonal (hp),10.617772574966027,0.0,Yes,B→Al,0.865,2.04,1.61,0.42999999999999994,0.87,1.18,0.30999999999999994,0.3563218390804597,high,True,MgAl2F8,p-3m1,p-3m1,False,False,new_composition,,,,,,,,621,9.774998664855957,True,8-10,3,relaxed,9.774998664855957,10.630650520324707,0.85565185546875,-5.268612601540306
LiMgF3,2LiMgBr3-1,LiMgBr3,p-31m,71,P-31m,Hexagonal (hp),5.674179509123846,0.04101406104567218,Yes,Br→F,0.955,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,LiMgF3,p-31m,p-31m,False,False,new_composition,,,,,,,,273,9.693941116333008,True,8-10,4,relaxed,9.693941116333008,9.39181137084961,-0.30212974548339844,-4.555044937133789
CaF2,2CaBr2-1,CaBr2,pmmn,46,Pmmn,Rectangular (op),5.946412070601797,0.05904275854528329,Yes,Br→F,0.97,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,CaF2,pmmn,pmmn,True,False,known_composition_new_layergroup,1CaF2-2;1CaF2-3;1CaF2-1,p-4m2;p-6m2;p-3m1,,,,,,104,9.681747436523438,True,8-10,5,relaxed,9.681747436523438,8.740653991699219,-0.9410934448242188,-4.568740208943685
LiF,6BrLi-2,LiBr,p3m1,69,P3m1,Hexagonal (hp),5.928555004782295,0.05204925768889742,Yes,Br→F,0.93,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,LiF,p3m1,p3m1,True,False,known_composition_new_layergroup,4FLi-1;6FLi-1;6FLi-2,p4/nmm;p4/mmm;p2_1/m11,,,,,,499,9.623523712158203,True,8-10,6,relaxed,9.623523712158203,8.414462089538574,-1.209061622619629,-4.518439928690593
MgF2,1MgCl2-1,MgCl2,p-3m1,72,P-3m1,Hexagonal (hp),7.294068617459455,2.9605947323337506e-16,Yes,Cl→F,0.87,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,MgF2,p-3m1,p-3m1,True,True,known_material,2MgF2-1;1MgF2-2;1MgF2-1;1MgF2-3,pmma;p-4m2;p-3m1;p-6m2,1MgF2-1,9.796043658608728,7.534444494178011,0.07071396287776939,Yes,91,9.359862327575684,True,8-10,7,relaxed,9.359862327575684,8.981800079345703,-0.37806224822998047,-4.027625719706218
ScF3,2ScCl3-3,ScCl3,p6/mmm,80,P6/mmm,Hexagonal (hp),5.305092518405447,0.07179340368419362,No,Cl→F,0.6,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,ScF3,p6/mmm,p6/mmm,True,True,known_material,2ScF3-1;2ScF3-2,p-31m;p6/mmm,2ScF3-2,,,0.12982524734352285,Unknown,635,9.353460311889648,True,8-10,8,relaxed,9.353460311889648,9.180782318115234,-0.17267799377441406,-6.222582817077637
NaSrF3,2NaSrI3-1,NaSrI3,p-31m,71,P-31m,Hexagonal (hp),4.712225290689499,0.05515423417875383,Yes,I→F,0.93,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,NaSrF3,p-31m,p-31m,False,False,new_composition,,,,,,,,224,9.1738862991333,True,8-10,9,relaxed,9.1738862991333,9.430901527404785,0.2570152282714844,-4.5793098449707035
SrF2,2SrBr2-1,SrBr2,pmmn,46,Pmmn,Rectangular (op),5.740809129410286,0.05414742903060107,Yes,Br→F,0.955,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,SrF2,pmmn,pmmn,True,False,known_composition_new_layergroup,1SrF2-2;1SrF2-1;1SrF2-3,p-4m2;p-3m1;p-6m2,,,,,,99,9.162847518920898,True,8-10,10,relaxed,9.162847518920898,8.435480117797852,-0.7273674011230469,-4.38901424407959
AlF3,2AlCl3-2,AlCl3,p-62m,79,P-62m,Hexagonal (hp),5.271412552980518,0.18991857043938998,No,Cl→F,0.795,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,AlF3,p-62m,p-62m,True,False,known_composition_new_layergroup,2AlF3-3;2AlF3-2;2AlF3-1,p6/mmm;p-31m;pmmm,,,,,,645,11.519289016723633,True,10-12,1,relaxed,11.519289016723633,10.42222785949707,-1.0970611572265625,-5.1269402503967285
BF3,2AlF3-2,AlF3,p-31m,71,P-31m,Hexagonal (hp),10.79158427023818,0.032977181729056504,Yes,Al→B,0.58,1.61,2.04,0.42999999999999994,1.18,0.87,0.30999999999999994,0.2627118644067796,medium,True,BF3,p-31m,p-31m,False,False,new_composition,,,,,,,,650,11.405045509338379,True,10-12,2,relaxed,11.405045509338379,10.122408866882324,-1.2826366424560547,-5.750110626220703
BeF2,1MgF2-1,MgF2,p-3m1,72,P-3m1,Hexagonal (hp),9.796043658608728,0.07071396287776939,Yes,Mg→Be,0.76,1.31,1.57,0.26,1.45,1.12,0.32999999999999985,0.22758620689655162,medium,True,BeF2,p-3m1,p-3m1,True,False,known_composition_new_layergroup,2BeF2-1;4BeF2-1,pmma;p112/a,,,,,,121,11.064001083374023,True,10-12,3,relaxed,11.064001083374023,9.960535049438477,-1.1034660339355469,-4.86261526743571
BeB2F8,1MgB2F8-1,MgB2F8,p-3m1,72,P-3m1,Hexagonal (hp),10.617772574966027,0.0,Yes,Mg→Be,0.83,1.31,1.57,0.26,1.45,1.12,0.32999999999999985,0.22758620689655162,medium,True,BeB2F8,p-3m1,p-3m1,False,False,new_composition,,,,,,,,617,10.687213897705078,True,10-12,4,relaxed,10.687213897705078,10.858031272888184,0.17081737518310547,-5.599300037730824
CaB2F8,1MgB2F8-1,MgB2F8,p-3m1,72,P-3m1,Hexagonal (hp),10.617772574966027,0.0,Yes,Mg→Ca,0.935,1.31,1.0,0.31000000000000005,1.45,1.94,0.49,0.33793103448275863,high,True,CaB2F8,p-3m1,p-3m1,False,False,new_composition,,,,,,,,618,10.52078628540039,True,10-12,5,relaxed,10.52078628540039,9.371978759765625,-1.1488075256347656,-5.682204506613991
SrB2F8,1MgB2F8-1,MgB2F8,p-3m1,72,P-3m1,Hexagonal (hp),10.617772574966027,0.0,Yes,Mg→Sr,0.925,1.31,0.95,0.3600000000000001,1.45,2.19,0.74,0.5103448275862069,high,True,SrB2F8,p-3m1,p-3m1,False,False,new_composition,,,,,,,,619,10.266165733337402,True,10-12,6,relaxed,10.266165733337402,7.668285369873047,-2.5978803634643555,-5.617833917791193
BaB2F8,1MgB2F8-1,MgB2F8,p-3m1,72,P-3m1,Hexagonal (hp),10.617772574966027,0.0,Yes,Mg→Ba,0.885,1.31,0.89,0.42000000000000004,1.45,2.53,1.0799999999999998,0.7448275862068965,high,True,BaB2F8,p-3m1,p-3m1,False,False,new_composition,,,,,,,,620,10.038864135742188,True,10-12,7,relaxed,10.038864135742188,9.750227928161621,-0.2886362075805664,-5.823697176846591
