formula,proto_uid,proto_formula,proto_layergroup,proto_lgnum,proto_international,proto_bravais_type,proto_gap_hse,proto_ehull,proto_dyn_stab,substitution,s_chem_rf,src_en,tgt_en,substitution_en_delta,src_radius,tgt_radius,substitution_radius_delta,substitution_radius_delta_frac,substitution_risk,needs_relaxation,reduced_formula,candidate_layergroup,candidate_layergroup_norm,exists_same_formula,exists_same_formula_layergroup,novelty_class,matched_c2db_uids,matched_c2db_layergroups,matched_same_lg_uids,matched_same_lg_gap_hse,matched_same_lg_gap_pbe,matched_same_lg_ehull,matched_same_lg_dyn_stab,candidate_index,gap_pred,is_uwbg,gap_bin,relaxation_status,relaxation_message,gap_pred_unrelaxed,gap_pred_relaxed,gap_pred_relax_delta,m3gnet_energy_pa_relaxed
Ca2Mg(SBr)2,1SrBr2Ca2S2-1,SrCa2(SBr)2,p-3m1,72,P-3m1,Hexagonal (hp),4.244068025794117,0.04163911727115251,Yes,Sr→Mg,0.645,0.95,1.31,0.3600000000000001,2.19,1.45,0.74,0.3378995433789954,high,True,Ca2Mg(SBr)2,p-3m1,p-3m1,False,False,new_composition,,,,,,,,662,3.997565269470215,True,2-4,relaxed,,3.997565269470215,4.489795684814453,0.4922304153442383,-3.295018332345145
YCuBr4,1CuYCl4-1,YCuCl4,p-1,2,P-1,Oblique (mp),4.813375012088784,0.030140964470896314,Yes,Cl→Br,0.69,3.16,2.96,0.20000000000000018,0.79,0.94,0.1499999999999999,0.18987341772151886,medium,True,YCuBr4,p-1,p-1,False,False,new_composition,,,,,,,,165,3.996737003326416,True,2-4,relaxed,,3.996737003326416,3.694955825805664,-0.30178117752075195,-3.86231263478597
ZrPdF6,1HfPdF6-1,HfPdF6,p312,67,P312,Hexagonal (hp),3.9589511625823297,0.07484476581182964,Yes,Hf→Zr,0.845,1.3,1.33,0.030000000000000027,2.08,2.06,0.020000000000000018,0.009615384615384623,low,False,ZrPdF6,p312,p312,True,True,known_material,1PdZrF6-1;1PdZrF6-2,c211;p312,1PdZrF6-2,3.951904482959593,1.375473926452628,0.08462649539880429,Yes,547,3.9945669174194336,True,2-4,relaxed,,3.9945669174194336,2.5105977058410645,-1.4839692115783691,-5.399118900299072
BaHCl,2CaClH-1,CaHCl,p4/nmm,64,P4/nmm,Square (tp),5.233449755490089,0.0032213257852049537,Yes,Ca→Ba,0.935,1.0,0.89,0.10999999999999999,1.94,2.53,0.5899999999999999,0.3041237113402061,high,True,BaHCl,p4/nmm,p4/nmm,True,True,known_material,2BaClH-1,p4/nmm,2BaClH-1,4.822970555720868,3.7472166317318267,0.05581777992934237,Yes,419,3.991870880126953,True,2-4,relaxed,,3.991870880126953,3.951056957244873,-0.04081392288208008,-3.690495491027832
BeP2(SCl)4,1BeP2F4S4-1,BeP2(SF)4,c211,10,C2,Centered rectangular (oc),5.121608088983676,0.08047915839698176,Yes,F→Cl,0.715,3.98,3.16,0.8199999999999998,0.42,0.79,0.37000000000000005,0.8809523809523812,high,True,BeP2(SCl)4,c211,c211,False,False,new_composition,,,,,,,,695,3.9882068634033203,True,2-4,relaxed,,3.9882068634033203,3.681917667388916,-0.3062891960144043,-3.4746287952769888
VClF,2BrClV-1,VBrCl,p2_1/m11,15,P2_1/m,Rectangular (op),3.740149248496336,0.0,Yes,Br→F,0.79,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,VClF,p2_1/m11,p2_1/m11,True,False,known_composition_new_layergroup,1ClFV-1,p3m1,,,,,,383,3.9788684844970703,True,2-4,relaxed,,3.9788684844970703,2.3223719596862793,-1.656496524810791,-5.410291035970052
HfNF,2FNZr-1,ZrNF,p-3m1,72,P-3m1,Hexagonal (hp),3.5658195476597268,0.019557221048297418,Yes,Zr→Hf,0.8,1.33,1.3,0.030000000000000027,2.06,2.08,0.020000000000000018,0.009708737864077678,low,False,HfNF,p-3m1,p-3m1,True,True,known_material,2FHfN-1;2FHfN-2,pmmn;p-3m1,2FHfN-2,3.903004594245254,2.68267036961076,0.048343028792602404,Yes,434,3.976357936859131,True,2-4,relaxed,,3.976357936859131,1.2662140130996704,-2.7101439237594604,-7.604465484619141
BiPO3,2BiSbO3-1,BiSbO3,p11a,5,Pc,Oblique (mp),3.9201864689657446,0.0,Yes,Sb→P,0.605,2.05,2.19,0.14000000000000012,1.33,0.98,0.3500000000000001,0.26315789473684215,medium,True,BiPO3,p11a,p11a,True,True,known_material,2BiPO3-1,p11a,2BiPO3-1,,,0.235451699561591,Unknown,287,3.9762558937072754,True,2-4,relaxed,,3.9762558937072754,4.227599143981934,0.2513432502746582,-5.702725982666015
SnNClO3,2ClPSnO3-1,SnPClO3,p11a,5,Pc,Oblique (mp),5.166210715542963,0.0,Yes,P→N,0.5,2.19,3.04,0.8500000000000001,0.98,0.56,0.41999999999999993,0.4285714285714285,high,True,SnNClO3,p11a,p11a,False,False,new_composition,,,,,,,,589,3.96388578414917,True,2-4,relaxed,,3.96388578414917,3.7387890815734863,-0.2250967025756836,-5.109917958577474
CdHOF,1CdClHO-1,CdHClO,p3m1,69,P3m1,Hexagonal (hp),3.773512541474132,0.03269194871847092,Yes,Cl→F,0.72,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,CdHOF,p3m1,p3m1,True,True,known_material,1CdFHO-1,p3m1,1CdFHO-1,4.3886706898278325,2.7022612834316577,0.0461885650694458,Yes,34,3.957319736480713,True,2-4,relaxed,,3.957319736480713,4.482493877410889,0.5251741409301758,-3.533921957015991
NaCSN,2CKNS-1,KCSN,pm2_1n,32,Pmn2_1,Rectangular (op),5.187544404701348,0.0658803848794296,Yes,K→Na,0.9,0.82,0.93,0.1100000000000001,2.43,1.9,0.5300000000000002,0.21810699588477375,medium,True,NaCSN,pm2_1n,pm2_1n,True,True,known_material,2CNNaS-1,pm2_1n,2CNNaS-1,5.136968561316429,4.120610116565436,0.10160772714642863,Yes,63,5.996518611907959,True,4-6,relaxed,,5.996518611907959,3.8975138664245605,-2.0990047454833984,-5.34512186050415
AsPO4,2PSbO4-1,SbPO4,p2_1/m11,15,P2_1/m,Rectangular (op),5.769998647690189,0.004841107190361645,Yes,Sb→As,0.575,2.05,2.18,0.13000000000000034,1.33,1.14,0.19000000000000017,0.142857142857143,low,False,AsPO4,p2_1/m11,p2_1/m11,True,True,known_material,2AsPO4-2;2AsPO4-1,pm2_1n;p2_1/m11,2AsPO4-1,,4.632149427950052,0.0,No,145,5.995663642883301,True,4-6,relaxed,,5.995663642883301,3.9072470664978027,-2.088416576385498,-5.608078638712565
NaClO2,2ClLiO2-1,LiClO2,p-42_1m,58,P-42_1m,Square (tp),5.196933542303896,0.15338332760737283,Yes,Li→Na,0.875,0.98,0.93,0.04999999999999993,1.67,1.9,0.22999999999999998,0.1377245508982036,low,False,NaClO2,p-42_1m,p-42_1m,True,True,known_material,2ClNaO2-1,p-42_1m,2ClNaO2-1,,,0.2641197164134311,Unknown,30,5.9874982833862305,True,4-6,relaxed,,5.9874982833862305,4.554071426391602,-1.433426856994629,-3.425086498260498
LiBrO2,2ClLiO2-1,LiClO2,p-42_1m,58,P-42_1m,Square (tp),5.196933542303896,0.15338332760737283,Yes,Cl→Br,0.92,3.16,2.96,0.20000000000000018,0.79,0.94,0.1499999999999999,0.18987341772151886,medium,True,LiBrO2,p-42_1m,p-42_1m,True,True,known_material,2BrLiO2-1,p-42_1m,2BrLiO2-1,4.325519864113333,2.6247697516589947,0.0921545568641815,Yes,29,5.973426342010498,True,4-6,relaxed,,5.973426342010498,0.6194970011711121,-5.353929340839386,-3.8292698860168457
NaHO,2HLiO-1,LiHO,p4/nmm,64,P4/nmm,Square (tp),5.612197341808312,0.0,Yes,Li→Na,0.93,0.98,0.93,0.04999999999999993,1.67,1.9,0.22999999999999998,0.1377245508982036,low,False,NaHO,p4/nmm,p4/nmm,True,True,known_material,2HNaO-2;2HNaO-1,p4/nmm,2HNaO-2;2HNaO-1,5.180520156502341;4.458174478957227,3.503657422151256;2.80219479300819,0.00044363769261224206;0.0,Yes,398,5.963003635406494,True,4-6,relaxed,,5.963003635406494,4.888144493103027,-1.0748591423034668,-4.2017167409261065
ScCl3,2ClScBr2-1,ScBr2Cl,cm11,13,Cm,Centered rectangular (oc),4.935391666345325,0.0,Yes,Br→Cl,0.85,2.96,3.16,0.20000000000000018,0.94,0.79,0.1499999999999999,0.1595744680851063,medium,True,ScCl3,cm11,cm11,True,False,known_composition_new_layergroup,2ScCl3-3;2ScCl3-1;2ScCl3-2,p6/mmm;p-31m;pmmm,,,,,,25,5.960155010223389,True,4-6,relaxed,,5.960155010223389,4.546162128448486,-1.4139928817749023,-4.761922359466553
Ga2Cl5F,1BrGa2Cl5-1,Ga2BrCl5,cm11,13,Cm,Centered rectangular (oc),4.578774907575783,0.021961594943228135,Yes,Br→F,0.67,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,Ga2Cl5F,cm11,cm11,False,False,new_composition,,,,,,,,492,5.952050685882568,True,4-6,relaxed,,5.952050685882568,4.224624156951904,-1.727426528930664,-3.358673334121704
CsCl,2BrCs-2,CsBr,p4/nmm,64,P4/nmm,Square (tp),5.145467471447715,0.1377607261820999,Yes,Br→Cl,0.97,2.96,3.16,0.20000000000000018,0.94,0.79,0.1499999999999999,0.1595744680851063,medium,True,CsCl,p4/nmm,p4/nmm,True,True,known_material,2ClCs-1,p4/nmm,2ClCs-1,5.654182203452806,4.459816516327901,0.14061787441716955,Yes,514,5.950775623321533,True,4-6,relaxed,,5.950775623321533,4.88118839263916,-1.069587230682373,-2.815100908279419
ZrO2,1TiO2-1,TiO2,p-3m1,72,P-3m1,Hexagonal (hp),5.218116611537117,0.13546633337948025,No,Ti→Zr,0.805,1.54,1.33,0.20999999999999996,1.76,2.06,0.30000000000000004,0.17045454545454547,medium,True,ZrO2,p-3m1,p-3m1,True,True,known_material,1ZrO2-3;1ZrO2-2;1ZrO2-1;4ZrO2-1,p-6m2;p-4m2;p-3m1;pbma,1ZrO2-1,6.508374322754187,4.448263427526731,0.21655976245711983,Yes,115,5.9491143226623535,True,4-6,relaxed,,5.9491143226623535,6.157854080200195,0.2087397575378418,-7.204082489013672
ScBrO,2FOSc-1,ScOF,pmmn,46,Pmmn,Rectangular (op),6.985766652092408,0.04293708398124233,Yes,F→Br,0.545,3.98,2.96,1.02,0.42,0.94,0.52,1.2380952380952381,high,True,ScBrO,pmmn,pmmn,True,True,known_material,2BrOSc-1;4BrOSc-1,pmmn;p2_1/m11,2BrOSc-1,5.237291553640096,3.210201931910875,0.0,Yes,449,5.94654655456543,True,4-6,relaxed,,5.94654655456543,4.886340141296387,-1.060206413269043,-6.19488525390625
B2O3,2Ga2O3-1,Ga2O3,pm2_1n,32,Pmn2_1,Rectangular (op),4.238227342795238,0.04953746974075983,Yes,Ga→B,0.59,1.81,2.04,0.22999999999999998,1.36,0.87,0.4900000000000001,0.3602941176470589,high,True,B2O3,pm2_1n,pm2_1n,True,False,known_composition_new_layergroup,1B2O3-1;2B2O3-2;2B2O3-1,p-62m;pman;pb2n,,,,,,525,7.947251319885254,True,6-8,relaxed,,7.947251319885254,8.095747947692871,0.1484966278076172,-7.18267822265625
NaF,6INa-1,NaI,p4/mmm,61,P4/mmm,Square (tp),4.338775146733397,0.03188683751175736,Yes,I→F,0.915,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,NaF,p4/mmm,p4/mmm,True,True,known_material,3FNa-1;2FNa-2;2FNa-1,p4/mmm;p4/nmm,3FNa-1,7.781608612287117,5.67699618276303,0.05098457115082233,Yes,505,7.915656089782715,True,6-8,relaxed,,7.915656089782715,7.593918323516846,-0.32173776626586914,-3.927517573038737
BeClF,2CaClF-1,CaClF,p4/nmm,64,P4/nmm,Square (tp),7.586685082888464,0.012101454898505892,Yes,Ca→Be,0.84,1.0,1.57,0.5700000000000001,1.94,1.12,0.8199999999999998,0.42268041237113396,high,True,BeClF,p4/nmm,p4/nmm,False,False,new_composition,,,,,,,,465,7.755741119384766,True,6-8,relaxed,,7.755741119384766,6.609538555145264,-1.146202564239502,-4.533105532328288
NaCaCl3,2CaNaI3-1,NaCaI3,p-31m,71,P-31m,Hexagonal (hp),4.678803649065653,0.05939036707001346,Yes,I→Cl,0.825,2.66,3.16,0.5,1.15,0.79,0.3599999999999999,0.3130434782608695,high,True,NaCaCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,281,7.668360710144043,True,6-8,relaxed,,7.668360710144043,7.065103054046631,-0.6032576560974121,-3.546483612060547
LiBeCl3,2LiMgCl3-1,LiMgCl3,p-31m,71,P-31m,Hexagonal (hp),7.012333418928682,0.03439843260186777,Yes,Mg→Be,0.96,1.31,1.57,0.26,1.45,1.12,0.32999999999999985,0.22758620689655162,medium,True,LiBeCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,323,7.610446929931641,True,6-8,relaxed,,7.610446929931641,6.422201156616211,-1.1882457733154297,-3.588621139526367
NaSrCl3,2NaSrI3-1,NaSrI3,p-31m,71,P-31m,Hexagonal (hp),4.712225290689499,0.05515423417875383,Yes,I→Cl,0.81,2.66,3.16,0.5,1.15,0.79,0.3599999999999999,0.3130434782608695,high,True,NaSrCl3,p-31m,p-31m,False,False,new_composition,,,,,,,,225,7.578201770782471,True,6-8,relaxed,,7.578201770782471,6.126105785369873,-1.4520959854125977,-3.4243736267089844
HfNiF6,1HfNiCl6-1,HfNiCl6,p312,67,P312,Hexagonal (hp),4.52340806097839,0.0,Yes,Cl→F,0.825,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,HfNiF6,p312,p312,True,True,known_material,1HfNiF6-1,p312,1HfNiF6-1,6.181179018284299,1.9097975249032775,0.023551528585250114,Yes,536,7.555655479431152,True,6-8,relaxed,,7.555655479431152,4.8739190101623535,-2.681736469268799,-5.813520431518555
BeCl2,1MgCl2-1,MgCl2,p-3m1,72,P-3m1,Hexagonal (hp),7.294068617459455,2.9605947323337506e-16,Yes,Mg→Be,0.825,1.31,1.57,0.26,1.45,1.12,0.32999999999999985,0.22758620689655162,medium,True,BeCl2,p-3m1,p-3m1,True,False,known_composition_new_layergroup,2BeCl2-1,p-4m2,,,,,,87,7.520969390869141,True,6-8,relaxed,,7.520969390869141,6.319751262664795,-1.2012181282043457,-3.4397716522216797
ScClF2,2ClScBr2-1,ScBr2Cl,cm11,13,Cm,Centered rectangular (oc),4.935391666345325,0.0,Yes,Br→F,0.605,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,ScClF2,cm11,cm11,False,False,new_composition,,,,,,,,24,7.469786643981934,True,6-8,relaxed,,7.469786643981934,5.282123565673828,-2.1876630783081055,-5.791130065917969
MnF2,1MnCl2-1,MnCl2,p-3m1,72,P-3m1,Hexagonal (hp),4.835915268067199,0.0,Yes,Cl→F,0.54,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,MnF2,p-3m1,p-3m1,True,True,known_material,1MnF2-2;1MnF2-1;1MnF2-3,p-4m2;p-6m2;p-3m1,1MnF2-3,,,0.8877518888953766,Unknown,94,7.379462242126465,True,6-8,relaxed,,7.379462242126465,4.360583305358887,-3.018878936767578,-5.54820187886556
YF3,2YI3-1,YI3,p-31m,71,P-31m,Hexagonal (hp),3.888589359408962,0.0008254916978196469,Yes,I→F,0.75,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,YF3,p-31m,p-31m,True,True,known_material,2YF3-1;2YF3-2,p-31m;p6/mmm,2YF3-1,9.894449577438952,7.72766527046932,0.0,Yes,639,9.882898330688477,True,8-10,relaxed,,9.882898330688477,9.586562156677246,-0.29633617401123047,-6.40560245513916
NaCaF3,2CaNaI3-1,NaCaI3,p-31m,71,P-31m,Hexagonal (hp),4.678803649065653,0.05939036707001346,Yes,I→F,0.915,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,NaCaF3,p-31m,p-31m,False,False,new_composition,,,,,,,,280,9.788369178771973,True,8-10,relaxed,,9.788369178771973,9.054224014282227,-0.7341451644897461,-4.666515350341797
MgAl2F8,1MgB2F8-1,MgB2F8,p-3m1,72,P-3m1,Hexagonal (hp),10.617772574966027,0.0,Yes,B→Al,0.865,2.04,1.61,0.42999999999999994,0.87,1.18,0.30999999999999994,0.3563218390804597,high,True,MgAl2F8,p-3m1,p-3m1,False,False,new_composition,,,,,,,,621,9.774998664855957,True,8-10,relaxed,,9.774998664855957,10.630650520324707,0.85565185546875,-5.268612601540306
LiMgF3,2LiMgBr3-1,LiMgBr3,p-31m,71,P-31m,Hexagonal (hp),5.674179509123846,0.04101406104567218,Yes,Br→F,0.955,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,LiMgF3,p-31m,p-31m,False,False,new_composition,,,,,,,,273,9.693941116333008,True,8-10,relaxed,,9.693941116333008,9.39181137084961,-0.30212974548339844,-4.555044937133789
CaF2,2CaBr2-1,CaBr2,pmmn,46,Pmmn,Rectangular (op),5.946412070601797,0.05904275854528329,Yes,Br→F,0.97,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,CaF2,pmmn,pmmn,True,False,known_composition_new_layergroup,1CaF2-2;1CaF2-3;1CaF2-1,p-4m2;p-6m2;p-3m1,,,,,,104,9.681747436523438,True,8-10,relaxed,,9.681747436523438,8.740653991699219,-0.9410934448242188,-4.568740208943685
LiF,6BrLi-2,LiBr,p3m1,69,P3m1,Hexagonal (hp),5.928555004782295,0.05204925768889742,Yes,Br→F,0.93,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,LiF,p3m1,p3m1,True,False,known_composition_new_layergroup,4FLi-1;6FLi-1;6FLi-2,p4/nmm;p4/mmm;p2_1/m11,,,,,,499,9.623523712158203,True,8-10,relaxed,,9.623523712158203,8.414462089538574,-1.209061622619629,-4.518439928690593
MgF2,1MgCl2-1,MgCl2,p-3m1,72,P-3m1,Hexagonal (hp),7.294068617459455,2.9605947323337506e-16,Yes,Cl→F,0.87,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,MgF2,p-3m1,p-3m1,True,True,known_material,2MgF2-1;1MgF2-2;1MgF2-1;1MgF2-3,pmma;p-4m2;p-3m1;p-6m2,1MgF2-1,9.796043658608728,7.534444494178011,0.07071396287776939,Yes,91,9.359862327575684,True,8-10,relaxed,,9.359862327575684,8.981800079345703,-0.37806224822998047,-4.027625719706218
ScF3,2ScCl3-3,ScCl3,p6/mmm,80,P6/mmm,Hexagonal (hp),5.305092518405447,0.07179340368419362,No,Cl→F,0.6,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,ScF3,p6/mmm,p6/mmm,True,True,known_material,2ScF3-1;2ScF3-2,p-31m;p6/mmm,2ScF3-2,,,0.12982524734352285,Unknown,635,9.353460311889648,True,8-10,relaxed,,9.353460311889648,9.180782318115234,-0.17267799377441406,-6.222582817077637
NaSrF3,2NaSrI3-1,NaSrI3,p-31m,71,P-31m,Hexagonal (hp),4.712225290689499,0.05515423417875383,Yes,I→F,0.93,2.66,3.98,1.3199999999999998,1.15,0.42,0.73,0.6347826086956522,high,True,NaSrF3,p-31m,p-31m,False,False,new_composition,,,,,,,,224,9.1738862991333,True,8-10,relaxed,,9.1738862991333,9.430901527404785,0.2570152282714844,-4.5793098449707035
SrF2,2SrBr2-1,SrBr2,pmmn,46,Pmmn,Rectangular (op),5.740809129410286,0.05414742903060107,Yes,Br→F,0.955,2.96,3.98,1.02,0.94,0.42,0.52,0.5531914893617021,high,True,SrF2,pmmn,pmmn,True,False,known_composition_new_layergroup,1SrF2-2;1SrF2-1;1SrF2-3,p-4m2;p-3m1;p-6m2,,,,,,99,9.162847518920898,True,8-10,relaxed,,9.162847518920898,8.435480117797852,-0.7273674011230469,-4.38901424407959
AlF3,2AlCl3-2,AlCl3,p-62m,79,P-62m,Hexagonal (hp),5.271412552980518,0.18991857043938998,No,Cl→F,0.795,3.16,3.98,0.8199999999999998,0.79,0.42,0.37000000000000005,0.4683544303797469,high,True,AlF3,p-62m,p-62m,True,False,known_composition_new_layergroup,2AlF3-3;2AlF3-2;2AlF3-1,p6/mmm;p-31m;pmmm,,,,,,645,11.519289016723633,True,10-12,relaxed,,11.519289016723633,10.42222785949707,-1.0970611572265625,-5.1269402503967285
BF3,2AlF3-2,AlF3,p-31m,71,P-31m,Hexagonal (hp),10.79158427023818,0.032977181729056504,Yes,Al→B,0.58,1.61,2.04,0.42999999999999994,1.18,0.87,0.30999999999999994,0.2627118644067796,medium,True,BF3,p-31m,p-31m,False,False,new_composition,,,,,,,,650,11.405045509338379,True,10-12,relaxed,,11.405045509338379,10.122408866882324,-1.2826366424560547,-5.750110626220703
BeF2,1MgF2-1,MgF2,p-3m1,72,P-3m1,Hexagonal (hp),9.796043658608728,0.07071396287776939,Yes,Mg→Be,0.76,1.31,1.57,0.26,1.45,1.12,0.32999999999999985,0.22758620689655162,medium,True,BeF2,p-3m1,p-3m1,True,False,known_composition_new_layergroup,2BeF2-1;4BeF2-1,pmma;p112/a,,,,,,121,11.064001083374023,True,10-12,relaxed,,11.064001083374023,9.960535049438477,-1.1034660339355469,-4.86261526743571
BeB2F8,1MgB2F8-1,MgB2F8,p-3m1,72,P-3m1,Hexagonal (hp),10.617772574966027,0.0,Yes,Mg→Be,0.83,1.31,1.57,0.26,1.45,1.12,0.32999999999999985,0.22758620689655162,medium,True,BeB2F8,p-3m1,p-3m1,False,False,new_composition,,,,,,,,617,10.687213897705078,True,10-12,relaxed,,10.687213897705078,10.858031272888184,0.17081737518310547,-5.599300037730824
CaB2F8,1MgB2F8-1,MgB2F8,p-3m1,72,P-3m1,Hexagonal (hp),10.617772574966027,0.0,Yes,Mg→Ca,0.935,1.31,1.0,0.31000000000000005,1.45,1.94,0.49,0.33793103448275863,high,True,CaB2F8,p-3m1,p-3m1,False,False,new_composition,,,,,,,,618,10.52078628540039,True,10-12,relaxed,,10.52078628540039,9.371978759765625,-1.1488075256347656,-5.682204506613991
SrB2F8,1MgB2F8-1,MgB2F8,p-3m1,72,P-3m1,Hexagonal (hp),10.617772574966027,0.0,Yes,Mg→Sr,0.925,1.31,0.95,0.3600000000000001,1.45,2.19,0.74,0.5103448275862069,high,True,SrB2F8,p-3m1,p-3m1,False,False,new_composition,,,,,,,,619,10.266165733337402,True,10-12,relaxed,,10.266165733337402,7.668285369873047,-2.5978803634643555,-5.617833917791193
