uid_x,fidelity,real,pred,abs_error,bias,uid_base,uid_y,reduced_formula,gap_pbe_2d,gap_pbe_bulk_mean,delta_gap_pbe,gap_hse_2d,gap_hse_bulk_mean,delta_gap_hse
2AuCl-2_hse,1,1.4768449068069458,2.6005730628967285,1.1237281560897827,1.1237281560897827,2AuCl-2,2AuCl-2,AuCl,1.1176194043882357,1.8679,-0.7502805956117644,1.4768448617655885,,
2TiZrTe4-1_hse,1,0.7439839243888855,0.4476782977581024,0.2963056266307831,-0.2963056266307831,2TiZrTe4-1,2TiZrTe4-1,ZrTiTe4,0.1172176416971779,0.0,0.1172176416971779,0.7439839246275826,0.0,0.7439839246275826
2OsSe2-1_hse,1,1.3893073797225952,0.9200279712677002,0.469279408454895,-0.469279408454895,2OsSe2-1,2OsSe2-1,OsSe2,0.5672753644166775,0.0,0.5672753644166775,1.389307349052195,0.4078009999999999,0.981506349052195
1BiBrTe-1_hse,1,1.159358263015747,0.9177957773208618,0.24156248569488525,-0.24156248569488525,1BiBrTe-1,1BiBrTe-1,BiTeBr,0.5910806856682358,1.2233,-0.6322193143317643,1.1593582897846306,2.31804992,-1.1586916302153694
2BaP2O6-1_hse,1,6.8789753913879395,6.753375053405762,0.12560033798217773,-0.12560033798217773,2BaP2O6-1,2BaP2O6-1,Ba(PO3)2,5.119854351861456,5.35195,-0.2320956481385447,6.8789754109267,,
2BiCl3-4_hse,1,3.106431722640991,3.3724889755249023,0.26605725288391113,0.26605725288391113,2BiCl3-4,2BiCl3-4,BiCl3,2.184236733968496,3.3547,-1.1704632660315042,3.106431663841922,,
2ZrTe5-1_hse,1,0.14231474697589874,0.6293763518333435,0.48706160485744476,0.48706160485744476,2ZrTe5-1,2ZrTe5-1,ZrTe5,0.1906391449159064,0.0442999999999997,0.1463391449159066,0.1423147415427084,,
1CrSe2-1_hse,1,1.128434419631958,1.2028415203094482,0.07440710067749023,0.07440710067749023,1CrSe2-1,1CrSe2-1,CrSe2,0.6852428509563413,0.0,0.6852428509563413,1.1284344191608056,0.0,1.1284344191608056
1AgInP2S6-1_hse,1,2.3653078079223633,2.137549877166748,0.22775793075561523,-0.22775793075561523,1AgInP2S6-1,1AgInP2S6-1,InAg(PS3)2,1.317293751322512,1.1379,0.1793937513225119,2.3653077633070336,,
1CuInP2Se6-1_hse,1,2.050906181335449,1.8364630937576294,0.21444308757781982,-0.21444308757781982,1CuInP2Se6-1,1CuInP2Se6-1,InCu(PSe3)2,0.9080369106453624,0.3111000000000001,0.5969369106453621,2.0509062009064927,,
4NaSbS2-1_hse,1,2.101515054702759,2.256885528564453,0.15537047386169434,0.15537047386169434,4NaSbS2-1,4NaSbS2-1,NaSbS2,1.529375255498007,0.8815999999999997,0.6477752554980072,2.1015151381476183,,
2PbTe-2_hse,1,0.8645070195198059,1.0847691297531128,0.22026211023330688,0.22026211023330688,2PbTe-2,2PbTe-2,TePb,0.4340715794741978,0.5092666666666666,-0.0751950871924688,0.8645070315508245,1.1264639900000002,-0.2619569584491756
2Al2Se3-3_hse,1,2.033627986907959,2.807766914367676,0.7741389274597168,0.7741389274597168,2Al2Se3-3,2Al2Se3-3,Al2Se3,1.3194839700811385,1.4622000000000002,-0.1427160299188619,2.033628082155115,2.686393,-0.6527649178448849
2As2S3-4_hse,1,3.246669292449951,3.021369457244873,0.22529983520507812,-0.22529983520507812,2As2S3-4,2As2S3-4,As2S3,2.2527051583121187,2.0878,0.164905158312119,3.246669201686613,,
