model,MAE,RMSE,Bias,MAE_HSE,MAE_UWBG,Bias_UWBG,n,n_UWBG
MEGNet Scratch (A),0.3077,0.4532,0.0002,0.3456,0.3074,-0.1099,729,125
MEGNet Fine-tune (B),0.3247,0.482,-0.0066,0.3565,0.3133,-0.0743,729,125
