epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,45,,,,,,,1.1443562507629395,1.4779548645019531,2.2007930278778076
0,45,,,,1.6126378774642944,2.0493547916412354,4.422893047332764,,,
1,91,,,,,,,0.9344109296798706,1.2084290981292725,1.4738848209381104
1,91,,,,1.1197364330291748,1.4230027198791504,2.043590545654297,,,
2,137,,,,,,,0.8494972586631775,1.1209415197372437,1.2693661451339722
2,137,,,,0.9462414383888245,1.251014232635498,1.5742731094360352,,,
3,183,,,,,,,0.8149832487106323,1.0844231843948364,1.186037540435791
3,183,,,,0.8644714951515198,1.158111572265625,1.3507530689239502,,,
4,229,,,,,,,0.7671777009963989,1.0229283571243286,1.0541130304336548
4,229,,,,0.812315821647644,1.0823742151260376,1.179462194442749,,,
5,275,,,,,,,0.7378016710281372,0.9885917901992798,0.9837111830711365
5,275,,,,0.7694647908210754,1.0242061614990234,1.0574986934661865,,,
6,321,,,,,,,0.7274505496025085,0.9714433550834656,0.9468837380409241
6,321,,,,0.727531373500824,0.9673821330070496,0.9411740303039551,,,
7,367,,,,,,,0.6878318190574646,0.9316450953483582,0.8714638948440552
7,367,,,,0.6940158605575562,0.9178587198257446,0.8474379777908325,,,
8,413,,,,,,,0.66664719581604,0.8931165337562561,0.8025087714195251
8,413,,,,0.6653208136558533,0.8824509978294373,0.7839006185531616,,,
9,459,,,,,,,0.64176344871521,0.8584873676300049,0.7408170700073242
9,459,,,,0.6505100131034851,0.8629085421562195,0.748357355594635,,,
10,505,,,,,,,0.6248758435249329,0.8496019840240479,0.7260769009590149
10,505,,,,0.6332083344459534,0.8414590358734131,0.7132382392883301,,,
11,551,,,,,,,0.6350173950195312,0.8412137031555176,0.7105261087417603
11,551,,,,0.6201291680335999,0.8159857392311096,0.6726134419441223,,,
12,597,,,,,,,0.6242209672927856,0.8341549634933472,0.6997829675674438
12,597,,,,0.6199917197227478,0.8177812099456787,0.6753090023994446,,,
13,643,,,,,,,0.6049694418907166,0.8202060461044312,0.6765232086181641
13,643,,,,0.6046784520149231,0.7998058795928955,0.645621120929718,,,
14,689,,,,,,,0.6149516701698303,0.8148338198661804,0.6663386821746826
14,689,,,,0.6051797270774841,0.8009239435195923,0.6467230916023254,,,
15,735,,,,,,,0.5989030599594116,0.8058937191963196,0.6530100703239441
15,735,,,,0.5962042808532715,0.786481499671936,0.6224857568740845,,,
16,781,,,,,,,0.5990659594535828,0.7998979091644287,0.6437339186668396
16,781,,,,0.5998058915138245,0.7957869172096252,0.6383853554725647,,,
17,827,,,,,,,0.620083749294281,0.8029486536979675,0.6465502977371216
17,827,,,,0.5993496775627136,0.7935441732406616,0.6337870359420776,,,
18,873,,,,,,,0.5793203115463257,0.7632756233215332,0.585712194442749
18,873,,,,0.5816483497619629,0.7710198760032654,0.597416877746582,,,
19,919,,,,,,,0.591815173625946,0.7947803735733032,0.6367472410202026
19,919,,,,0.5837818384170532,0.7717577815055847,0.5994742512702942,,,
20,965,,,,,,,0.5769498348236084,0.7745298743247986,0.6044262647628784
20,965,,,,0.5787304043769836,0.7637926340103149,0.5866976976394653,,,
21,1011,,,,,,,0.5844720602035522,0.7656161189079285,0.5889259576797485
21,1011,,,,0.5752692222595215,0.7640154361724854,0.588433563709259,,,
22,1057,,,,,,,0.5779896974563599,0.7781113982200623,0.6100559830665588
22,1057,,,,0.5707007050514221,0.7570148706436157,0.5787068605422974,,,
23,1103,,,,,,,0.5801216959953308,0.7754539847373962,0.6051015257835388
23,1103,,,,0.5691965222358704,0.7535620331764221,0.572494387626648,,,
24,1149,,,,,,,0.5759103894233704,0.7892056107521057,0.6290863752365112
24,1149,,,,0.5636526346206665,0.7473335862159729,0.5613310933113098,,,
25,1195,,,,,,,0.5568625926971436,0.7381934523582458,0.5493960380554199
25,1195,,,,0.5575624704360962,0.7399001717567444,0.5529885292053223,,,
26,1241,,,,,,,0.5682316422462463,0.7418854832649231,0.55194091796875
26,1241,,,,0.5510784983634949,0.7303155064582825,0.538732647895813,,,
27,1287,,,,,,,0.5484947562217712,0.7352793216705322,0.545147716999054
27,1287,,,,0.5544012784957886,0.7327720522880554,0.5410498380661011,,,
28,1333,,,,,,,0.5441393852233887,0.7324482202529907,0.5397652983665466
28,1333,,,,0.5429756045341492,0.7199549674987793,0.5226846933364868,,,
29,1379,,,,,,,0.5535305738449097,0.7456199526786804,0.5600545406341553
29,1379,,,,0.547758936882019,0.725914478302002,0.5304436087608337,,,
30,1425,,,,,,,0.5407048463821411,0.7221230268478394,0.5251824855804443
30,1425,,,,0.539699912071228,0.716966986656189,0.5177497863769531,,,
31,1471,,,,,,,0.5402168035507202,0.7167019844055176,0.5168057680130005
31,1471,,,,0.5299783945083618,0.7039892673492432,0.4992547929286957,,,
32,1517,,,,,,,0.5485944747924805,0.7390281558036804,0.5491717457771301
32,1517,,,,0.5270363688468933,0.7015884518623352,0.49561601877212524,,,
33,1563,,,,,,,0.5378096103668213,0.722406804561615,0.5245413184165955
33,1563,,,,0.5270885229110718,0.7017286419868469,0.4964907467365265,,,
34,1609,,,,,,,0.5268120169639587,0.7021155953407288,0.49643778800964355
34,1609,,,,0.527586817741394,0.700442910194397,0.4954913854598999,,,
35,1655,,,,,,,0.5345395803451538,0.7212588787078857,0.5231963992118835
35,1655,,,,0.5226406455039978,0.6955785155296326,0.48760107159614563,,,
36,1701,,,,,,,0.5307381749153137,0.7068761587142944,0.5029895901679993
36,1701,,,,0.5177037119865417,0.6880165338516235,0.47627612948417664,,,
37,1747,,,,,,,0.5190165042877197,0.6966857314109802,0.48871299624443054
37,1747,,,,0.5160571932792664,0.6868838667869568,0.4760408401489258,,,
38,1793,,,,,,,0.5379252433776855,0.7167768478393555,0.517990231513977
38,1793,,,,0.5145133137702942,0.6820140480995178,0.4679274559020996,,,
39,1839,,,,,,,0.5424948334693909,0.7181451916694641,0.5183101892471313
39,1839,,,,0.5112981200218201,0.6795635223388672,0.46773552894592285,,,
40,1885,,,,,,,0.5221075415611267,0.7141340374946594,0.5137979984283447
40,1885,,,,0.5100180506706238,0.6806578636169434,0.4669163227081299,,,
41,1931,,,,,,,0.5193934440612793,0.6969918608665466,0.48776307702064514
41,1931,,,,0.5057222247123718,0.6707441806793213,0.45327192544937134,,,
