modelo,threshold,TP,FP,FN,TN,precision,recall,f1,AP
run005,3.4,85,0,5,229,1.0,0.9444,0.9714,0.9954
corrigido,3.4,83,0,7,229,1.0,0.9222,0.9595,0.9936
