Faixa PBE,N,MAE run005,MAE residual-corrected,Bias run005,Bias residual-corrected
0-1,134,0.18537945591286445,0.17121560297308525,0.06570787025061174,0.006528040651555486
1-2,89,0.1653717127378503,0.12659411946588758,0.005288931698305998,-0.01581591233422906
2-3,42,0.20008144852080645,0.1942691805479454,0.00457014187270285,-0.010719686756584254
3-4,22,0.1528415666234162,0.1764146523344776,-0.0075701447591109364,-0.03962207804826963
4-5,18,0.14972030813601947,0.140392407893381,0.003174058805388618,0.024629124848635244
>5,14,0.16788360263406363,0.1631881617194633,-0.13381053481245475,-0.046459929926799974
