uid,formula,n_atoms,gap_pbe,gap_hse_pred,margin,ehull,dyn_stab,hform
2CaCl2-1,CaCl2,6,5.406327483393074,6.490979194641113,3.0909791946411134,0.06250870283172993,Yes,-2.368643624966575
2SeAs2O6-1,As2SeO6,18,3.192233157607052,5.297206878662109,1.8972068786621095,0.07501324385412388,Yes,-0.9156029741031778
8BeI2-1,BeI2,24,4.348070819743814,4.899265766143799,1.499265766143799,0.032393595423025445,Yes,-0.5630326846901875
2TlF3-2,TlF3,8,2.506851707964703,4.382848262786865,0.9828482627868653,0.031844114692748615,Yes,-1.8770432659928153
