epoch,step,test_MAE,test_RMSE,test_Total_Loss,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
0,764,,,,,,,0.817298948764801,1.1118249893188477,1.2522249221801758
0,764,,,,0.9842360615730286,1.319400429725647,1.8441932201385498,,,
1,1529,,,,,,,0.7249705195426941,1.036927580833435,1.0933719873428345
1,1529,,,,0.7621029615402222,1.070029854774475,1.1856271028518677,,,
2,2294,,,,,,,0.6909148693084717,0.9838402271270752,0.9892484545707703
2,2294,,,,0.7101240158081055,1.0106377601623535,1.061981201171875,,,
3,3059,,,,,,,0.6752158999443054,0.9561229944229126,0.933385968208313
3,3059,,,,0.6761691570281982,0.9726975560188293,0.9844701886177063,,,
4,3824,,,,,,,0.6384569406509399,0.9231913089752197,0.87240070104599
4,3824,,,,0.6505893468856812,0.9411740303039551,0.9280213117599487,,,
5,4589,,,,,,,0.6123242378234863,0.8860049247741699,0.8046050667762756
5,4589,,,,0.6275626420974731,0.917386531829834,0.8789870738983154,,,
6,5354,,,,,,,0.5901652574539185,0.8882823586463928,0.8109663724899292
6,5354,,,,0.6032257676124573,0.8882823586463928,0.8211676478385925,,,
7,6119,,,,,,,0.5603341460227966,0.853909969329834,0.7505336403846741
7,6119,,,,0.5827640891075134,0.8619096875190735,0.7728152275085449,,,
8,6884,,,,,,,0.547969400882721,0.8366650342941284,0.7179694771766663
8,6884,,,,0.5608516335487366,0.8297339081764221,0.7081165909767151,,,
9,7649,,,,,,,0.5371279716491699,0.823618471622467,0.7003255486488342
9,7649,,,,0.5487685203552246,0.8120444416999817,0.6777086853981018,,,
10,8414,,,,,,,0.5443074107170105,0.822577178478241,0.6948345899581909
10,8414,,,,0.532114565372467,0.7953855395317078,0.6498425006866455,,,
11,9179,,,,,,,0.529710590839386,0.8096252679824829,0.6703318953514099
11,9179,,,,0.5269653797149658,0.7885493040084839,0.6399412155151367,,,
12,9944,,,,,,,0.517116129398346,0.7985485196113586,0.6538927555084229
12,9944,,,,0.5133928060531616,0.7720104455947876,0.6134368777275085,,,
13,10709,,,,,,,0.5138104557991028,0.7894316911697388,0.6415292024612427
13,10709,,,,0.503797173500061,0.7593403458595276,0.5931745171546936,,,
14,11474,,,,,,,0.5192546248435974,0.782928466796875,0.6275656819343567
14,11474,,,,0.49336951971054077,0.7449459433555603,0.5708707571029663,,,
15,12239,,,,,,,0.4787876009941101,0.7563911080360413,0.5885269045829773
15,12239,,,,0.4841408133506775,0.7370439171791077,0.5588890910148621,,,
16,13004,,,,,,,0.4796391427516937,0.748795747756958,0.5758556723594666
16,13004,,,,0.4760182797908783,0.7243396639823914,0.5422563552856445,,,
17,13769,,,,,,,0.4822240471839905,0.7523758411407471,0.5828683376312256
17,13769,,,,0.46916109323501587,0.7163029313087463,0.5279379487037659,,,
18,14534,,,,,,,0.4739590883255005,0.7527688145637512,0.5873920917510986
18,14534,,,,0.45834359526634216,0.7007843852043152,0.5070134997367859,,,
19,15299,,,,,,,0.46477842330932617,0.737585186958313,0.5606691241264343
19,15299,,,,0.45310500264167786,0.6972365379333496,0.5011022090911865,,,
20,16064,,,,,,,0.5033463835716248,0.7520849704742432,0.5780951380729675
20,16064,,,,0.4443870186805725,0.6837400794029236,0.4815138876438141,,,
21,16829,,,,,,,0.4634670317173004,0.7359617352485657,0.5574109554290771
21,16829,,,,0.4388202428817749,0.6733919382095337,0.46831151843070984,,,
22,17594,,,,,,,0.47819021344184875,0.7394488453865051,0.5600826144218445
22,17594,,,,0.43236038088798523,0.6665319204330444,0.46044671535491943,,,
23,18359,,,,,,,0.45547184348106384,0.7372313737869263,0.5624024868011475
23,18359,,,,0.42791590094566345,0.6600549817085266,0.44944265484809875,,,
24,19124,,,,,,,0.44767123460769653,0.7167242765426636,0.5274684429168701
