uid,formula,gap_pbe,gap_hse_true,gap_hse_pred,class,ehull,hform,thickness,is_magnetic,dyn_stab,natoms,n_species,has_F,has_Cl,has_Br,has_I,has_O,has_N,has_S,has_halide,has_alkali,has_alkaline_earth,has_transition_metal,mean_en,max_en,min_en,range_en,mean_period,max_period,mean_group,mean_cov_radius,mean_atomic_mass,dyn_stab_yes,s_chem_rf,s_chem_lr
2IKO3-1,KIO3,3.0705528695425537,,4.456130027770996,Novel,0.04562328782377421,-0.784730717199384,4.537028689531933,0,No,10,3,0,0,0,1,1,0,0,1,1,0,0,2.3066666666666666,3.44,0.82,2.62,3.6666666666666665,5.0,11.333333333333334,1.3533333333333335,60.667390000000005,0,0.75,0.842504691980037
2NiF3-1,NiF3,0.0054936481389944,,6.07178258895874,Novel,0.0,-1.6500872694240138,2.046701547134811,1,Unknown,8,2,1,0,0,0,0,0,0,1,0,0,1,2.945,3.98,1.91,2.0700000000000003,3.0,4.0,13.5,0.955,38.8459016,0,0.74,0.2080923972720303
2HgK2Cl4-1,K2HgCl4,3.330235495013453,,4.645814418792725,Novel,0.06191911879704724,-1.3527843269888105,5.303485564852718,0,No,14,3,0,1,0,0,0,0,0,1,1,0,1,1.9933333333333334,3.16,0.82,2.3400000000000003,4.333333333333333,6.0,10.0,1.6433333333333335,91.71376666666667,0,0.735,0.41926479909443687
2AlBr3-2,AlBr3,3.5499249159288846,,5.049238681793213,Novel,0.08938488530493283,-1.0395201640137275,5.548778961551694,0,No,8,2,0,0,1,0,0,0,0,1,0,0,0,2.285,2.96,1.61,1.3499999999999999,3.5,4.0,15.0,1.06,53.442769299999995,0,0.735,0.3854897373775395
2CrF3-1,CrF3,0.9337341886550132,,3.633632898330689,Novel,0.00014701112361725777,-2.751558274499386,2.4897301251564317,1,No,8,2,1,0,0,0,0,0,0,1,0,0,1,2.82,3.98,1.66,2.3200000000000003,3.0,4.0,11.5,1.04,35.4972516,0,0.73,0.3398238946696132
2CdClF-1,CdClF,2.674113513158803,,4.6916823387146,Novel,0.07025677360443645,-1.636528465096492,5.914104761814805,0,No,6,3,1,1,0,0,0,0,0,1,0,0,1,2.9433333333333334,3.98,1.69,2.29,3.3333333333333335,5.0,15.333333333333334,0.9400000000000001,55.62080106666667,0,0.73,0.1968026596051384
2V2O5-2,V2O5,2.0333964383924625,,4.267786026000977,Novel,0.0015675385204555628,-2.275855914938063,4.814615717442532,0,No,14,2,0,0,0,0,1,0,0,0,0,0,1,2.535,3.44,1.63,1.81,3.0,4.0,10.5,1.095,33.47045,0,0.725,0.5758269125570449
4FTl-4,TlF,2.209189951105005,,3.971014976501465,Novel,0.08553693932072237,-1.7383433342696013,4.716534886057231,0,No,8,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.98,1.62,2.36,4.0,6.0,15.0,0.99,111.6908516,0,0.725,0.4605801174739867
2BrCrF-1,CrBrF,1.2578941415958464,,3.551067352294922,Novel,0.11833129729050462,-1.4816971719821292,3.009991287339811,1,No,6,3,1,0,1,0,0,0,0,1,0,0,1,2.8666666666666667,3.98,1.66,2.3200000000000003,3.3333333333333335,4.0,13.333333333333334,1.0066666666666666,50.299501066666664,0,0.72,0.2531723793282968
2MoSeZnO6-1,ZnMoSeO6,3.388981818568975,,4.628272533416748,Novel,0.029867060199951705,-1.4768533195793243,7.810289629427215,0,No,18,4,0,0,0,0,1,0,0,0,0,0,1,2.4499999999999997,3.44,1.65,1.79,3.75,5.0,12.5,1.2075,64.07709999999999,0,0.72,0.05861673882954475
4PO2-2,PO2,4.7113410928687225,,6.053016662597656,Novel,0.036221284900163596,-1.7401721356977262,2.8077294282626912,0,No,12,2,0,0,0,0,1,0,0,0,0,0,0,2.815,3.44,2.19,1.25,2.5,3.0,15.5,0.73,23.486581,0,0.715,0.6438974765419961
1InKI4O12-1,KIn(IO3)4,2.896870931300356,,4.278346538543701,Novel,0.015151084185885585,-0.5162416310037395,6.94012349507989,0,No,18,4,0,0,0,1,1,0,0,1,1,0,0,2.175,3.44,0.82,2.62,4.0,5.0,11.75,1.4050000000000002,74.2050425,0,0.715,0.6904005878643155
2AsVO5-1,VAsO5,1.8123792772664853,,4.108357906341553,Novel,0.0,-1.6924997595391014,2.084297836424696,0,No,14,3,0,0,0,0,1,0,0,0,0,0,1,2.4166666666666665,3.44,1.63,1.81,3.3333333333333335,4.0,12.0,1.1099999999999999,47.2875,0,0.705,0.5718746445453042
2CaClNO3-1,CaNClO3,2.8829290778397776,,4.614336967468262,Novel,0.0980770587905863,-1.3497529837297038,9.198580398232513,0,No,12,4,0,1,0,0,1,1,0,1,0,1,0,2.66,3.44,1.0,2.44,2.75,4.0,12.5,0.9425,26.384275,0,0.705,0.7379814437078934
5FTl-1,TlF,3.2324776796373995,,4.835282802581787,Novel,0.038734287817587185,-1.7851459857727363,4.152255495709034,0,No,10,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.98,1.62,2.36,4.0,6.0,15.0,0.99,111.6908516,0,0.705,0.5385946226718437
4InCl2-1,InCl2,2.3924458511898488,,3.954178333282471,Novel,0.010302121605359815,-1.0296414659779518,3.277330228208836,0,No,12,2,0,1,0,0,0,0,0,1,0,0,0,2.47,3.16,1.78,1.3800000000000001,4.0,5.0,15.0,1.175,75.13550000000001,0,0.7,0.4739401692379035
2CRbSF3O3-1,RbCS(OF)3,5.749059505587901,,7.176067352294922,Novel,0.03286298547769108,-1.7270497801891471,9.148394075323505,0,No,18,5,1,0,0,0,1,0,1,1,1,0,0,2.674,3.98,0.82,3.16,2.8,5.0,12.8,1.02,32.90826064,0,0.7,0.35940090782913037
1BiHSe2O6-1,BiH(SeO3)2,3.0067770344525417,,4.227531433105469,Novel,0.0,-0.9768616337750039,5.836881171142716,0,No,10,4,0,0,0,0,1,0,0,0,0,0,0,2.5525,3.44,2.02,1.42,3.25,6.0,12.0,0.8675,76.23693499999999,0,0.695,0.26293305978001086
1ZrNa2H6S6-1,Na2Zr(HS)6,2.444343761862036,,3.7973883152008057,Novel,0.021301251262397496,-0.6534735272477822,4.775945410386742,0,No,15,4,0,0,0,0,0,0,1,0,1,0,1,1.7600000000000002,2.58,0.93,1.65,3.0,5.0,5.5,1.3425,36.821677320000006,0,0.695,0.11394622877283729
2FNSrO3-1,SrNO3F,3.036595526275827,,4.684459686279297,Novel,0.07724506728704157,-1.811823576321217,8.74677533905013,0,No,12,4,1,0,0,0,1,1,0,1,0,1,0,2.8525,3.98,0.95,3.0300000000000002,2.75,5.0,12.5,0.9125,34.1561258,0,0.695,0.657408991073697
2CsSCd2Br3O3-1,CsCd2S(BrO)3,2.646411649677216,,4.055315017700195,Novel,0.08939651867447047,-1.2196911539854036,11.38520033623875,0,No,20,5,0,0,1,0,1,0,1,1,1,0,1,2.292,3.44,0.79,2.65,4.0,6.0,12.4,1.3780000000000001,74.65697037999999,0,0.695,0.08577985376694221
1CoF2-1,CoF2,0.5971911522551561,,4.302138805389404,Novel,0.0,-1.8011961221931585,1.9814764322972298,1,Unknown,3,2,1,0,0,0,0,0,0,1,0,0,1,2.9299999999999997,3.98,1.88,2.1,3.0,4.0,13.0,0.97,38.9657991,0,0.695,0.1770533044310875
1YCl3-1,YCl3,4.226560095431935,,6.205842018127441,Novel,0.03086875956898716,-2.3137655241703863,3.5346047364198308,0,No,4,2,0,1,0,0,0,0,0,1,0,0,1,2.19,3.16,1.22,1.9400000000000002,4.0,5.0,10.0,1.455,62.179425,0,0.695,0.4894887421850853
1Mo2Nb2O11-1,Nb2Mo2O11,2.260378301225421,,4.14437198638916,Novel,0.0,-2.394672525845374,9.149827739181642,0,No,15,3,0,0,0,0,1,0,0,0,0,0,1,2.4,3.44,1.6,1.8399999999999999,4.0,5.0,9.0,1.4533333333333331,68.28192666666668,0,0.695,0.07537318724442335
2GaF3-3,GaF3,5.071004514759804,,7.997773170471191,Novel,0.09417098420401171,-2.613584918813463,2.386455172650389,0,No,8,2,1,0,0,0,0,0,0,1,0,0,0,2.895,3.98,1.81,2.17,3.0,4.0,15.0,0.89,44.3607016,0,0.695,0.6426144293482078
2GaF3-2,GaF3,5.007989275229093,,7.239091873168945,Novel,0.014377489459039161,-2.6933784135584355,2.535714338965721,0,No,8,2,1,0,0,0,0,0,0,1,0,0,0,2.895,3.98,1.81,2.17,3.0,4.0,15.0,0.89,44.3607016,0,0.695,0.6321203269284779
1CrF3-1,CrF3,0.9343850623962676,,3.6335349082946777,Novel,4.440892098500626e-16,-2.751705285623003,2.489704896904617,1,No,4,2,1,0,0,0,0,0,0,1,0,0,1,2.82,3.98,1.66,2.3200000000000003,3.0,4.0,11.5,1.04,35.4972516,0,0.69,0.2796613096864032
2KSeHg2Cl3O3-1,KHg2Se(ClO)3,2.707126128686847,,4.032201290130615,Novel,0.04688609877427528,-0.8831661113211489,11.54852154759949,0,No,20,5,0,1,0,0,1,0,0,1,1,0,1,2.3939999999999997,3.44,0.82,2.62,3.8,6.0,12.4,1.2880000000000003,74.02014,0,0.69,0.10787253134629454
2AlInF4-1,AlInF4,0.7416688887400436,,3.9040565490722656,Novel,0.0930798707526943,-2.893685325000248,2.1301886897996596,0,No,12,3,1,0,0,0,0,0,0,1,0,0,0,2.4566666666666666,3.98,1.61,2.37,3.3333333333333335,5.0,14.333333333333334,1.0533333333333335,53.59931393333333,0,0.69,0.8238976796532134
2RbSCd2Br3O3-1,RbCd2S(BrO)3,2.599954027924898,,4.047458648681641,Novel,0.08589587472155262,-1.2207185427469764,11.029894218308357,0,No,20,5,0,0,1,0,1,0,1,1,1,0,1,2.298,3.44,0.82,2.62,3.8,5.0,12.4,1.312,65.16944,0,0.685,0.116270489570177
4BrClZn-1,ZnBrCl,3.373390037522783,,4.818909168243408,Novel,0.017104917444748995,-1.0375786853965139,4.837242024847082,0,No,12,3,0,1,1,0,0,0,0,1,0,0,1,2.59,3.16,1.65,1.5100000000000002,3.6666666666666665,4.0,15.333333333333334,1.05,60.25533333333333,0,0.685,0.27566887146366564
2AlF2N2H5-1,AlH5(NF)2,2.7651184728264946,,4.941044330596924,Novel,0.04087963467092752,-1.2735057295207945,5.164654662760599,0,No,20,4,1,0,0,0,0,1,0,1,0,0,0,2.7075,3.98,1.61,2.37,2.0,3.0,11.5,0.6725,15.24864545,0,0.685,0.8316340352578685
1TlF3-1,TlF3,2.5232955735818825,,4.353310585021973,Novel,0.0,-1.908887380685564,2.768961975899142,0,No,4,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.98,1.62,2.36,4.0,6.0,15.0,0.99,111.6908516,0,0.685,0.5380236359186985
1HSbS2O6-1,SbH(SO3)2,3.559867978422603,,5.644272327423096,Novel,0.043609098790341784,-1.1274506743640438,5.516942310815351,0,No,10,4,0,0,0,0,1,0,1,0,0,0,0,2.5675,3.44,2.05,1.3900000000000001,2.75,5.0,12.0,0.805,42.708085000000004,0,0.685,0.30503957076657395
2CsSHg2Cl3O3-1,CsHg2S(ClO)3,3.379229064067922,,4.837365627288818,Novel,0.0285590064522351,-1.1273280423482184,11.278257469695289,0,No,20,5,0,1,0,0,1,0,1,1,1,0,1,2.394,3.44,0.79,2.65,4.0,6.0,12.4,1.3679999999999999,83.40257038000001,0,0.685,0.08343003754219107
2KSeHg2Br3O3-1,KHg2Se(BrO)3,2.3580174437680568,,3.618464469909668,Novel,0.04772599211222968,-0.8198717767584824,11.932365704571586,0,No,20,5,0,0,1,0,1,0,0,1,1,0,1,2.3539999999999996,3.44,0.82,2.62,4.0,6.0,12.4,1.3180000000000003,82.91033999999999,0,0.685,0.07836540609984657
4PO2-1,PO2,5.123943542722234,,6.26241397857666,Novel,0.024054701492183916,-1.7523387191057058,5.210084113755693,0,No,12,2,0,0,0,0,1,0,0,0,0,0,0,2.815,3.44,2.19,1.25,2.5,3.0,15.5,0.73,23.486581,0,0.68,0.465431638070114
3FTl-1,TlF,3.1975012133697125,,4.879214286804199,Novel,0.05681350737531717,-1.7670667662150066,2.7261998991954064,0,No,6,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.98,1.62,2.36,4.0,6.0,15.0,0.99,111.6908516,0,0.68,0.57601429348296
2IRbO3-1,RbIO3,3.2811297189229824,,4.400100231170654,Novel,0.042316877859128965,-0.7810188895019372,4.680905064092718,0,No,10,3,0,0,0,1,1,0,0,1,1,0,0,2.3066666666666666,3.44,0.82,2.62,4.0,5.0,11.333333333333334,1.4266666666666665,76.12389,0,0.67,0.7829269310516344
1Bi2Ge3O9-1,Ge3Bi2O9,3.3643839450239224,,5.129004955291748,Novel,0.12745902720475957,-1.4290406505412332,4.840342062860117,0,No,14,3,0,0,0,0,1,0,0,0,0,0,0,2.4899999999999998,3.44,2.01,1.4300000000000002,4.0,6.0,15.0,1.0533333333333332,99.2066,0,0.67,0.3228243720961741
2P2O5-1,P2O5,4.995004406041707,,6.723667621612549,Novel,0.014723111641411078,-1.8885555532848994,5.460459615470789,0,No,14,2,0,0,0,0,1,0,0,0,0,0,0,2.815,3.44,2.19,1.25,2.5,3.0,15.5,0.73,23.486581,0,0.67,0.48160201387772156
2BLiH4S4-1,LiB(HS)4,3.947911635234116,,4.978956699371338,Novel,0.0,-0.4456144381763195,6.018744328151662,0,No,20,4,0,0,0,0,0,0,1,0,1,0,0,1.9500000000000002,2.58,0.98,1.6,2.0,3.0,7.75,0.9875,12.706235,0,0.66,0.3572291813619189
1WCu2O4-1,Cu2WO4,2.90764912641577,,5.164150714874268,Novel,0.12437994731813871,-1.3287091639648239,2.3405370259921865,0,No,7,3,0,0,0,0,1,0,0,0,0,0,1,2.5666666666666664,3.44,1.9,1.54,4.0,6.0,11.0,1.2866666666666666,87.79513333333334,0,0.655,0.15904031102811064
9FTl-1,TlF,3.59074789659968,,5.081108570098877,Novel,0.07392375216587392,-1.7499565214244497,2.962726342404669,0,No,18,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.98,1.62,2.36,4.0,6.0,15.0,0.99,111.6908516,0,0.655,0.7466249109709036
2ScCl3-2,ScCl3,2.9532834347379904,,5.314217567443848,Novel,0.05256238205817043,-2.110826782887309,3.4064435967729843,0,No,8,2,0,1,0,0,0,0,0,1,0,0,1,2.2600000000000002,3.16,1.36,1.8,3.5,4.0,10.0,1.315,40.204456,0,0.65,0.6229837731660607
2RbSeHg2Cl3O3-1,RbHg2Se(ClO)3,2.7448662822923766,,4.039271831512451,Novel,0.04314347973710131,-0.8840042607507321,11.758515947647092,0,No,20,5,0,1,0,0,1,0,0,1,1,0,1,2.3939999999999997,3.44,0.82,2.62,4.0,6.0,12.4,1.332,83.29403999999998,0,0.645,0.08418584646773575
1Sc2Se5O13-1,Sc2Se5O13,3.18611110098644,,4.91771125793457,Novel,0.004319957464686652,-1.4968997001647069,5.338866862121398,0,No,20,3,0,0,0,0,1,0,0,0,0,0,1,2.4499999999999997,3.44,1.36,2.08,3.3333333333333335,4.0,11.666666666666666,1.1166666666666667,46.638437333333336,0,0.645,0.45728910554460006
1As2Si3O9-1,Si3As2O9,5.219711298714298,,6.381506443023682,Novel,0.04561728983008046,-2.160655706511953,4.396228562279022,0,No,14,3,0,0,0,0,1,0,0,0,0,0,0,2.5066666666666664,3.44,1.9,1.54,3.0,4.0,15.0,0.91,39.66883333333333,0,0.645,0.5497185333954355
2Sb2O3-3,Sb2O3,3.884516117740107,,4.806813716888428,Novel,0.025374870340986178,-1.3364163945375958,1.8392085837529741,0,No,10,2,0,0,0,0,1,0,0,0,0,0,0,2.745,3.44,2.05,1.3900000000000001,3.5,5.0,15.5,0.905,68.8797,0,0.645,0.5234153700714044
2BrCu-2,CuBr,2.3920960744193502,,4.141585826873779,Novel,0.027793241908293798,-0.2764626063294484,3.773395206342208,0,No,4,2,0,0,1,0,0,0,0,1,0,0,1,2.4299999999999997,2.96,1.9,1.06,4.0,4.0,14.0,1.1949999999999998,71.725,0,0.64,0.07611457006805307
1CaInSBr3-1,CaInSBr3,2.375091767768604,,3.5091891288757324,Novel,0.059532232696545805,-1.347101152535564,3.4074711637198476,0,No,6,4,0,0,1,0,0,0,1,1,0,1,0,2.08,2.96,1.0,1.96,4.0,5.0,12.0,1.33,66.71625,0,0.64,0.4399546554789173
6FTl-2,TlF,3.0979494743144844,,4.228571891784668,Novel,0.04676592022876817,-1.7771143533615554,5.41285778851609,0,No,12,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.98,1.62,2.36,4.0,6.0,15.0,0.99,111.6908516,0,0.635,0.478073185194292
4ZnF2-1,ZnF2,4.133611706938529,,6.253700256347656,Novel,0.05169460073807919,-2.3588996195817042,4.590877158451927,0,No,12,2,1,0,0,0,0,0,0,1,0,0,1,2.815,3.98,1.65,2.33,3.0,4.0,14.5,0.9199999999999999,42.2037016,0,0.63,0.42833897066889864
2AlCl2N2H5-1,AlH5(NCl)2,3.347610869957574,,5.136378288269043,Novel,0.0,-0.7590804043653506,4.9180275476371005,0,No,20,4,0,1,0,0,0,1,0,1,0,0,0,2.5025000000000004,3.16,1.61,1.55,2.25,3.0,11.5,0.765,19.362294650000003,0,0.63,0.7353478202096274
4AsO2-1,AsO2,3.274399068709864,,5.207334041595459,Novel,0.0,-1.1347732435776419,3.247901952035628,0,No,12,2,0,0,0,0,1,0,0,0,0,0,0,2.81,3.44,2.18,1.2599999999999998,3.0,4.0,15.5,0.8099999999999999,45.460499999999996,0,0.63,0.48978388581930193
4AsO2-2,AsO2,3.231899049355752,,5.794323921203613,Novel,0.06991229710530789,-1.064860946472334,5.483012205253006,0,No,12,2,0,0,0,0,1,0,0,0,0,0,0,2.81,3.44,2.18,1.2599999999999998,3.0,4.0,15.5,0.8099999999999999,45.460499999999996,0,0.63,0.32721501431204175
4HTeO3-1,TeHO3,2.579001731226076,,3.652864933013916,Novel,0.004080205564611106,-1.017031559214893,6.166758886341997,0,No,20,3,0,0,0,0,1,0,0,0,0,0,0,2.58,3.44,2.1,1.3399999999999999,2.6666666666666665,5.0,11.0,0.7466666666666667,48.20244666666667,0,0.63,0.7330549676262409
2SnF2-1,SnF2,3.4955587100787864,,4.927384853363037,Novel,0.011363613845446707,-2.340028142933437,3.1065839152693355,0,No,6,2,1,0,0,0,0,0,0,1,0,0,0,2.9699999999999998,3.98,1.96,2.02,3.5,5.0,15.5,0.9349999999999999,68.8542016,0,0.63,0.32990447721525135
2NaSeHg2Br3O3-1,NaHg2Se(BrO)3,2.39652815434919,,3.661877870559693,Novel,0.08209553964873262,-0.7701910863294579,11.891349683757674,0,No,20,5,0,0,1,0,1,0,0,1,1,0,1,2.3760000000000003,3.44,0.93,2.51,3.8,6.0,12.4,1.2120000000000002,79.688633856,0,0.63,0.09763420463029966
1CrMoF6-1,CrMoF6,0.3134587676971492,,4.401644229888916,Novel,0.047225797221289056,-2.531212340453497,2.527612196098957,1,No,8,3,1,0,0,0,0,0,0,1,0,0,1,2.6,3.98,1.66,2.3200000000000003,3.6666666666666665,5.0,9.666666666666666,1.3266666666666664,55.6448344,0,0.625,0.1820342638591318
2Al2S3-4,Al2S3,1.9423980762566693,,3.5178518295288086,Novel,0.09321125792678515,-0.9774164770715892,6.080130843512146,0,No,10,2,0,0,0,0,0,0,1,0,0,0,0,2.095,2.58,1.61,0.97,3.0,3.0,14.5,1.03,29.5232693,0,0.625,0.07729998391629198
2Sb2O3-2,Sb2O3,3.6146110115226073,,4.87047290802002,Novel,0.021236719773271063,-1.3405545451053107,2.3928667264444474,0,No,10,2,0,0,0,0,1,0,0,0,0,0,0,2.745,3.44,2.05,1.3900000000000001,3.5,5.0,15.5,0.905,68.8797,0,0.625,0.48133439560465935
2BaS3H4-1,BaH4S3,3.487784792373257,,4.785192012786865,Novel,0.0,-0.6922981200500709,7.985970108592099,0,No,16,3,0,0,0,0,0,0,1,0,0,1,0,1.89,2.58,0.89,1.69,3.3333333333333335,6.0,6.333333333333333,1.3133333333333332,56.79998,0,0.625,0.3145048519396898
1HfAs2F2O6-1,HfAs2(O3F)2,3.696276947052248,,5.601844310760498,Novel,0.0,-2.072689174403763,6.770153899347754,0,No,11,4,1,0,0,0,1,0,0,1,0,0,1,2.725,3.98,1.3,2.6799999999999997,3.5,6.0,13.0,1.03,72.1023508,0,0.62,0.27307656096538774
2KC2F3O3-1,KC2(OF)3,5.66111635026357,,7.399101257324219,Novel,0.024401812210437,-1.803925116194405,10.030627731814965,0,No,18,4,1,0,0,0,1,0,0,1,1,0,0,2.6975,3.98,0.82,3.16,2.5,4.0,12.0,1.0,21.5267008,0,0.62,0.6121407338679548
3ClIn-1,InCl,2.9533366730996398,,4.154598712921143,Novel,0.061666076112779265,-0.7803474375119258,3.1923787560898056,0,No,6,2,0,1,0,0,0,0,0,1,0,0,0,2.47,3.16,1.78,1.3800000000000001,4.0,5.0,15.0,1.175,75.13550000000001,0,0.62,0.3771653983085776
2KSCd2I3O3-1,KCd2S(IO)3,2.2844656553772045,,3.636150360107422,Novel,0.09680031103361753,-1.0926902077421705,11.482776442080583,0,Unknown,20,5,0,0,0,1,1,0,1,1,1,0,1,2.238,3.44,0.82,2.62,3.8,5.0,12.4,1.31,65.29563399999999,0,0.615,0.082762253152184
2Al2S3-3,Al2S3,3.0747441387640624,,3.407337188720703,Novel,0.041501521300218516,-1.0291262136981558,3.0382249794523437,0,No,10,2,0,0,0,0,0,0,1,0,0,0,0,2.095,2.58,1.61,0.97,3.0,3.0,14.5,1.03,29.5232693,0,0.615,0.17447491340927204
2ClNSrO3-1,SrNClO3,3.064157269656538,,4.4668803215026855,Novel,0.09621142305057055,-1.4093727014085655,9.38029665902241,0,No,12,4,0,1,0,0,1,1,0,1,0,1,0,2.6475,3.44,0.95,2.49,3.0,5.0,12.5,1.005,38.269775,0,0.615,0.6829373475319668
6FTl-1,TlF,2.6590125652358463,,3.9214816093444815,Novel,0.04642945680083432,-1.7774508167894894,5.778067048068273,0,No,12,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.98,1.62,2.36,4.0,6.0,15.0,0.99,111.6908516,0,0.615,0.45044742414058875
2CsSHg2Br3O3-1,CsHg2S(BrO)3,2.9161783872841927,,4.355831146240234,Novel,0.0320700984587738,-1.0588273256296241,11.659020329384898,0,No,20,5,0,0,1,0,1,0,1,1,1,0,1,2.354,3.44,0.79,2.65,4.2,6.0,12.4,1.3980000000000001,92.29277038000001,0,0.615,0.06021101119982112
2RbSeCd2Br3O3-1,RbCd2Se(BrO)3,2.1275529563459084,,3.8458237648010254,Novel,0.13175542637870521,-1.0160904105541797,11.334287295842824,0,Unknown,20,5,0,0,1,0,1,0,0,1,1,0,1,2.292,3.44,0.82,2.62,4.0,5.0,12.4,1.342,74.54844,0,0.615,0.10342783468044733
2B2O3-2,B2O3,5.06054785078204,,7.501482963562012,Novel,0.05081827195507031,-2.3533472680906753,3.596446128963822,0,No,10,2,0,0,0,0,1,0,0,0,0,0,0,2.74,3.44,2.04,1.4,2.0,2.0,14.5,0.675,13.4052,0,0.61,0.8112066558074457
4BrOSc-1,ScBrO,3.184007845857254,,5.142027378082275,Novel,0.031060261246844096,-2.8056999377910414,6.048896175068352,0,No,12,3,0,0,1,0,1,0,0,1,0,0,1,2.5866666666666664,3.44,1.36,2.08,3.3333333333333335,4.0,12.0,1.0866666666666667,46.953103999999996,0,0.61,0.582906555026988
4FTl-3,TlF,1.9941985048265591,,3.754497766494751,Novel,0.07226806520292195,-1.7516122083874017,7.03271765006809,0,No,8,2,1,0,0,0,0,0,0,1,0,0,0,2.8,3.98,1.62,2.36,4.0,6.0,15.0,0.99,111.6908516,0,0.61,0.29679464268780176
2AsSbO4-1,SbAsO4,3.383486124228672,,5.044677734375,Novel,0.02559205184409456,-1.266622523336526,3.2156653426227404,0,No,12,3,0,0,0,0,1,0,0,0,0,0,0,2.5566666666666666,3.44,2.05,1.3900000000000001,3.6666666666666665,5.0,15.333333333333334,0.9833333333333333,70.89366666666668,0,0.605,0.36206092142324936
4ClOSc-1,ScClO,4.1624778700225935,,6.047534942626953,Novel,0.07050570574086142,-2.9415120254080853,5.726576266237098,0,No,12,3,0,1,0,0,1,0,0,1,0,0,1,2.6533333333333338,3.44,1.36,2.08,3.0,4.0,12.0,1.0366666666666666,32.136103999999996,0,0.605,0.6647841070843082
2RbSCd2I3O3-1,RbCd2S(IO)3,2.235900227010412,,3.5148379802703857,Novel,0.09106404216086261,-1.0927138601046287,11.590448463030617,0,No,20,5,0,0,0,1,1,0,1,1,1,0,1,2.238,3.44,0.82,2.62,4.0,5.0,12.4,1.3539999999999999,74.569534,0,0.6,0.06608798723031283
2AsPO4-1,AsPO4,4.632149427950052,,5.631920337677002,Novel,0.0,-1.718209487262886,2.8992744938766553,0,No,12,3,0,0,0,0,1,0,0,0,0,0,0,2.6033333333333335,3.44,2.18,1.2599999999999998,3.0,4.0,15.333333333333334,0.8666666666666667,40.631587333333336,0,0.6,0.4807245036164448
4CdF2-1,CdF2,2.7206190068666016,,5.2463884353637695,Novel,0.07062329781099101,-2.225637901522244,7.042617493012826,0,No,12,2,1,0,0,0,0,0,0,1,0,0,1,2.835,3.98,1.69,2.29,3.5,5.0,14.5,1.0150000000000001,65.70470159999999,0,0.6,0.1569429777062104
2HgRb2Cl4-1,Rb2HgCl4,3.3471357608977224,,4.493931293487549,Novel,0.05614473184481561,-1.3502602293479256,5.27296880511685,0,No,14,3,0,1,0,0,0,0,0,1,1,0,1,1.9933333333333334,3.16,0.82,2.3400000000000003,4.666666666666667,6.0,10.0,1.7166666666666666,107.17026666666668,0,0.6,0.3391871529447931
2InCl2-1,InCl2,2.462953035177658,,4.033370971679688,Novel,0.024895336706327598,-1.015048250876984,2.893775032601564,0,No,6,2,0,1,0,0,0,0,0,1,0,0,0,2.47,3.16,1.78,1.3800000000000001,4.0,5.0,15.0,1.175,75.13550000000001,0,0.595,0.3987300028719493
2Sb2O3-4,Sb2O3,3.074115835125117,,4.366239547729492,Novel,0.03563508859518407,-1.3261561762833978,3.8582135716712003,0,No,10,2,0,0,0,0,1,0,0,0,0,0,0,2.745,3.44,2.05,1.3900000000000001,3.5,5.0,15.5,0.905,68.8797,0,0.595,0.37274299537034317
1Bi2Si3O9-1,Si3Bi2O9,3.732511360650298,,5.611193656921387,Novel,0.12154112908001226,-2.137011283046266,4.661949813040698,0,No,14,3,0,0,0,0,1,0,0,0,0,0,0,2.453333333333333,3.44,1.9,1.54,3.6666666666666665,6.0,15.0,1.0066666666666666,84.35510000000001,0,0.595,0.46787454005302537
2CsIO3-1,CsIO3,3.460003114855472,,4.372308731079102,Novel,0.03679751909954092,-0.7896438621072128,4.951879924099279,0,No,10,3,0,0,0,1,1,0,0,1,1,0,0,2.296666666666667,3.44,0.79,2.65,4.333333333333333,6.0,11.333333333333334,1.5366666666666664,91.93644063333333,0,0.595,0.695115618378999
2FNbO2-1,NbO2F,3.947522410618329,,5.246466636657715,Novel,0.05299232995341763,-2.8492180961254974,2.500243791024424,0,No,8,3,1,0,0,0,1,0,0,1,0,0,1,3.0066666666666664,3.98,1.6,2.38,3.0,5.0,12.666666666666666,0.96,42.63472773333333,0,0.595,0.49555549752744804
2CCsSF3O3-1,CsCS(OF)3,5.632514579519086,,6.955364227294922,Novel,0.019459211404103352,-1.7374832677130267,8.979925394429957,0,No,18,5,1,0,0,0,1,0,1,1,1,0,0,2.668,3.98,0.79,3.19,3.0,6.0,12.8,1.0859999999999999,42.395791020000004,0,0.59,0.31936655631758565
2KSHg2I3O3-1,KHg2S(IO)3,2.195195603648041,,3.462815284729004,Novel,0.06564984862228992,-0.9490230718222634,11.835526977460182,0,No,20,5,0,0,0,1,1,0,1,1,1,0,1,2.3,3.44,0.82,2.62,4.0,6.0,12.4,1.33,82.931434,0,0.59,0.054884743906697
