uid,formula,gap_pbe,gap_hse_true,gap_hse_pred,class,ehull,hform,thickness,is_magnetic,dyn_stab,natoms,n_species,has_F,has_Cl,has_Br,has_I,has_O,has_N,has_S,has_halide,has_alkali,has_alkaline_earth,has_transition_metal,mean_en,max_en,min_en,range_en,mean_period,max_period,mean_group,mean_cov_radius,mean_atomic_mass,dyn_stab_yes,s_chem_rf,s_chem_lr
2NNaO3-2,NaNO3,2.976573911015189,,4.849509716033936,Novel,0.02768690134687759,-0.98729859668952,4.489675909194254,0,No,10,3,0,0,0,0,1,1,0,0,1,0,0,2.47,3.44,0.93,2.51,2.3333333333333335,3.0,10.666666666666666,0.98,17.66528976,0,0.88,0.8178327574150626
4LiSeO2-1,LiSeO2,1.4519507407156138,,3.8683791160583496,Novel,0.0,-1.2790385456551236,4.672491461700032,0,No,16,3,0,0,0,0,1,0,0,0,1,0,0,2.3233333333333333,3.44,0.98,2.46,2.6666666666666665,4.0,11.0,1.06,33.9668,0,0.88,0.8880290242172341
2IKF4-1,KIF4,3.0111592993590164,,4.178202152252197,Novel,0.0,-1.930051667729028,2.72922501496876,0,No,12,3,1,0,0,1,0,0,0,1,1,0,0,2.486666666666667,3.98,0.82,3.16,3.6666666666666665,5.0,11.666666666666666,1.3333333333333333,61.66705773333333,0,0.88,0.8723934664107997
2NNaO3-1,NaNO3,3.164787110405034,,5.011083602905273,Novel,0.022553747955525692,-0.9924317500808719,5.020932238989751,0,No,10,3,0,0,0,0,1,1,0,0,1,0,0,2.47,3.44,0.93,2.51,2.3333333333333335,3.0,10.666666666666666,0.98,17.66528976,0,0.875,0.792509727201769
2BrNaS2H4-1,NaH4S2Br,4.098541911453981,,5.120006084442139,Novel,0.0304781343024334,-0.5064400547542416,5.747275216346777,0,No,16,4,0,0,1,0,0,0,1,1,1,0,0,2.1675000000000004,2.96,0.93,2.03,2.75,4.0,8.75,1.0625,33.99167732,0,0.875,0.6163139823166107
2ClNaO3-1,NaClO3,5.17609420431444,,6.443687438964844,Novel,0.09427851566195855,-0.6409392890329677,4.312433192780508,0,No,10,3,0,1,0,0,1,0,0,1,1,0,0,2.51,3.44,0.93,2.51,2.6666666666666665,3.0,11.333333333333334,1.0566666666666666,24.814056426666667,0,0.87,0.9491743043718576
1MgK2S2H4O8-1,K2MgH4(SO4)2,4.093097504617171,,5.387744426727295,Novel,0.06588726356969128,-1.5523666510916365,5.365401113995453,0,No,17,5,0,0,0,0,1,0,1,0,1,1,0,2.07,3.44,0.82,2.62,2.6,4.0,7.2,1.154,22.495128,0,0.87,0.9114909414508641
2HNaS-2,NaHS,2.9162164935933843,,4.416706562042236,Novel,0.01816331458084086,-0.6953874620138318,5.975820706270296,0,No,6,3,0,0,0,0,0,0,1,0,1,0,0,1.9033333333333335,2.58,0.93,1.65,2.3333333333333335,3.0,6.0,1.1033333333333333,18.68756976,0,0.865,0.31090037331536013
2IRbF4-1,RbIF4,3.1479544976904026,,4.940946578979492,Novel,0.0,-1.9485525375231838,2.7502777201257267,0,No,12,3,1,0,0,1,0,0,0,1,1,0,0,2.486666666666667,3.98,0.82,3.16,4.0,5.0,11.666666666666666,1.4066666666666665,77.12355773333333,0,0.865,0.827137532110525
2NaC2F3O3-1,NaC2(OF)3,5.86519509572954,,7.29151439666748,Novel,0.06737226717915314,-1.764127182540324,9.168454763821037,0,No,18,4,1,0,0,0,1,0,0,1,1,0,0,2.725,3.98,0.93,3.05,2.25,3.0,12.0,0.8674999999999999,17.49956812,0,0.86,0.7430529577312678
